stock,QUAL,MTUM,VLUE,IWM,IVW,IYW,IYC,IVV
T,0,0,7.19575,0,0,0,0,0.4619
INTC,1.1821,0,5.64419,0,0,1.93978,0,0.49526
MU,0,0,4.03235,0,0,1.08384,0,0.27464
CSCO,1.66228,0,3.68796,0,0.59213,0,0,0.65348
F,0,1.00559,3.04572,0,0,0,1.33617,0.19237
GM,0,0,2.95666,0,0,0,1.26473,0.19107
IBM,0,0,2.65262,0,0,1.18404,0,0.30153
PFE,0,0,2.35202,0,0.79891,0,0,0.73764
ABBV,0,0,2.29454,0,0.7469,0,0,0.68956
C,0,0,2.07417,0,0,0,0,0.34418
WFC,0,2.78978,1.87462,0,0,0,0,0.60093
CVS,0,0,1.84956,0,0,0,0,0.36451
RTX,0,0,1.84921,0,0,0,0,0.37871
BMY,0,0,1.78733,0,0,0,0,0.4058
AMAT,0.89814,1.22641,1.7627,0,0.65403,1.27976,0,0.32559
MO,0,0,1.4682,0,0,0,0,0.25706
FIS,0,0,1.25762,0,0,0,0,0.15748
HPQ,0,0,1.22156,0,0.11378,0.44444,0,0.11284
GS,0,1.52724,1.1884,0,0.64056,0,0,0.31862
EOG,0,0.85758,1.0998,0,0.16383,0,0,0.17711
CI,0,0,1.09619,0,0,0,0,0.20457
LEN,0,0,1.08088,0,0,0,0.45235,0.06515
WBA,0,0,1.0147,0,0,0,0,0.09136
ANTM,0,0,0.95145,0,0,0,0,0.29329
DHI,0.64653,0,0.94413,0,0.07775,0,0.51833,0.07401
HPE,0,0,0.9066,0,0,0.23926,0,0.06131
CBRE,0.30811,0.39039,0.90382,0,0.09097,0,0,0.09022
FISV,0,0,0.87893,0,0,0,0,0.15168
FDX,0,0,0.86891,0,0,0,0,0.14707
KHC,0,0,0.86851,0,0,0,0,0.07378
COF,0,0,0.80881,0,0.17157,0,0,0.17725
GILD,0,0,0.7966,0,0,0,0,0.20751
CTSH,0,0,0.7515,0,0,0.48445,0,0.12309
KR,0,0,0.7487,0,0,0,0,0.08292
TSN,0,0,0.72033,0,0,0,0,0.07456
GLW,0,0,0.69664,0,0,0.33764,0,0.08761
NXPI,0,0,0.67617,0,0.17056,0.52818,0,0.13453
GPN,0,0,0.67538,0,0,0,0,0.10719
AIG,0,0,0.67506,0,0,0,0,0.13861
TEL,0,0,0.66159,0,0,0,0,0.12653
PARA,0,0,0.63878,0,0,0,0.31261,0.04656
KMI,0.67321,0,0.61492,0,0,0,0,0.088
WDC,0,0,0.61218,0,0,0.18446,0,0.04678
MET,0,0,0.61048,0,0,0,0,0.13446
CNC,0,0,0.60062,0,0,0,0,0.12948
PSA,0.58764,0,0.59969,0,0.16755,0,0,0.14203
NOC,0,0,0.59501,0,0,0,0,0.15754
LHX,0,0,0.57281,0,0.09786,0,0,0.11549
PHM,0.26997,0,0.56343,0,0,0,0.22946,0.03278
EXC,0,0,0.55316,0,0,0,0,0.11029
PRU,0,0,0.5482,0,0,0,0,0.1166
GD,0,0,0.52385,0,0,0,0,0.13565
BBY,0.61895,0,0.51934,0,0,0,0.45405,0.05792
SPG,0,0,0.51482,0,0.15165,0,0,0.12524
JCI,0,0.5213,0.5137,0,0.15412,0,0,0.126
DVN,0,0.72756,0.50449,0,0.18809,0,0,0.09326
STX,0,0,0.48902,0,0.08883,0,0,0.06019
