,open,high,low,close,adjclose,volume,ticker
2021-12-31,477.6600036621094,478.92999267578125,476.75,476.989990234375,475.4110107421875,3980100,IVV
2022-01-03,478.3800048828125,479.8999938964844,475.9100036621094,479.8399963378906,478.2515563964844,5560300,IVV
2022-01-04,481.3699951171875,482.07000732421875,477.6600036621094,479.67999267578125,478.09210205078125,5452000,IVV
2022-01-05,479.2699890136719,480.0299987792969,470.2900085449219,470.3299865722656,468.7730407714844,7211400,IVV
2022-01-06,469.95001220703125,472.8500061035156,467.4800109863281,469.9800109863281,468.4242248535156,5959100,IVV
2022-01-07,470.0199890136719,471.25,466.6700134277344,468.1000061035156,466.5504455566406,7673600,IVV
2022-01-10,464.69000244140625,467.7799987792969,458.5899963378906,467.2200012207031,465.67333984375,8975900,IVV
2022-01-11,467.260009765625,471.8999938964844,464.04998779296875,471.8299865722656,470.26806640625,7552000,IVV
2022-01-12,473.7300109863281,475.260009765625,470.9700012207031,473.0799865722656,471.5139465332031,8938600,IVV
2022-01-13,474.2200012207031,474.9200134277344,465.489990234375,466.5899963378906,465.0454406738281,5351100,IVV
2022-01-14,463.1400146484375,467.0799865722656,461.8999938964844,466.75,465.20489501953125,9652900,IVV
2022-01-18,461.70001220703125,461.94000244140625,457.3299865722656,458.5,456.9822082519531,9681700,IVV
2022-01-19,460.0,461.6000061035156,453.42999267578125,453.760009765625,452.2579040527344,6260800,IVV
2022-01-20,455.739990234375,460.75,448.2099914550781,448.7200012207031,447.2345886230469,8907300,IVV
2022-01-21,447.5799865722656,450.010009765625,439.8699951171875,439.9800109863281,438.5235290527344,13981000,IVV
2022-01-24,433.95001220703125,442.32000732421875,422.55999755859375,441.5199890136719,440.05841064453125,18241000,IVV
2022-01-25,434.989990234375,441.6300048828125,429.010009765625,436.44000244140625,434.9952392578125,14720000,IVV
2022-01-26,442.7099914550781,446.07000732421875,430.760009765625,435.42999267578125,433.98858642578125,14881700,IVV
2022-01-27,440.19000244140625,443.5,431.3299865722656,433.1600036621094,431.7261047363281,17529800,IVV
2022-01-28,434.6400146484375,443.8800048828125,429.67999267578125,443.75,442.2810363769531,13069600,IVV
2022-01-31,443.1099853515625,452.239990234375,441.7699890136719,451.7699890136719,450.27447509765625,8537700,IVV
2022-02-01,452.69000244140625,455.5899963378906,448.8900146484375,454.8900146484375,453.3841857910156,8777800,IVV
2022-02-02,457.57000732421875,460.1400146484375,455.0400085449219,459.260009765625,457.7397155761719,8744100,IVV
2022-02-03,452.9200134277344,454.95001220703125,447.67999267578125,448.6000061035156,447.114990234375,7835200,IVV
2022-02-04,448.239990234375,454.7699890136719,445.79998779296875,450.8500061035156,449.3575439453125,7108900,IVV
2022-02-07,451.510009765625,452.9700012207031,447.82000732421875,449.25,447.7628479003906,6353200,IVV
2022-02-08,448.7099914550781,453.8800048828125,447.17999267578125,452.82000732421875,451.3210144042969,4955500,IVV
2022-02-09,457.260009765625,459.80999755859375,457.0299987792969,459.5,457.9789123535156,7144600,IVV
2022-02-10,453.3900146484375,459.7200012207031,449.20001220703125,451.3800048828125,449.88580322265625,7476000,IVV
2022-02-11,451.3399963378906,453.57000732421875,440.8800048828125,442.3500061035156,440.88568115234375,9436900,IVV
2022-02-14,441.8800048828125,443.5299987792969,437.260009765625,440.9100036621094,439.450439453125,8249000,IVV
2022-02-15,445.6400146484375,448.239990234375,445.1300048828125,448.0,446.5169677734375,6722700,IVV
2022-02-16,445.760009765625,450.010009765625,443.8900146484375,448.510009765625,447.0252990722656,6315600,IVV
2022-02-17,445.17999267578125,445.7200012207031,438.3500061035156,439.1000061035156,437.6464538574219,6435600,IVV
2022-02-18,439.3399963378906,440.5899963378906,433.7200012207031,436.07000732421875,434.62646484375,8059100,IVV
2022-02-22,433.75,437.3999938964844,427.7099914550781,431.3399963378906,429.912109375,9939000,IVV
2022-02-23,434.4800109863281,435.1499938964844,423.1700134277344,423.4800109863281,422.0781555175781,11345100,IVV
2022-02-24,412.79998779296875,430.6099853515625,412.3999938964844,430.1400146484375,428.71612548828125,19259900,IVV
2022-02-25,431.44000244140625,439.7699890136719,429.760009765625,439.6099853515625,438.15472412109375,9651300,IVV
2022-02-28,433.92999267578125,440.1199951171875,432.6000061035156,438.7200012207031,437.2677001953125,11167900,IVV
2022-03-01,437.0,439.0899963378906,429.0899963378906,431.9200134277344,430.4902038574219,14288700,IVV
2022-03-02,434.30999755859375,441.4700012207031,433.4700012207031,439.79998779296875,438.3441162109375,8947200,IVV
2022-03-03,442.44000244140625,443.0299987792969,435.760009765625,437.69000244140625,436.2411193847656,9927000,IVV
2022-03-04,433.75,435.260009765625,429.739990234375,433.95001220703125,432.51348876953125,8081100,IVV
2022-03-07,433.44000244140625,433.69000244140625,421.19000244140625,421.20001220703125,419.8056945800781,8790100,IVV
2022-03-08,421.42999267578125,429.0,416.9100036621094,418.05999755859375,416.67608642578125,14798500,IVV
2022-03-09,427.0400085449219,431.3699951171875,424.6600036621094,429.30999755859375,427.88885498046875,7703000,IVV
2022-03-10,424.3699951171875,428.260009765625,422.260009765625,427.3399963378906,425.92535400390625,8046600,IVV
2022-03-11,430.04998779296875,430.6300048828125,421.3599853515625,422.010009765625,420.6130065917969,11299100,IVV
2022-03-14,422.8999938964844,426.3599853515625,417.6000061035156,418.82000732421875,417.4335632324219,8925100,IVV
2022-03-15,421.5400085449219,428.67999267578125,420.239990234375,428.0400085449219,426.623046875,7882600,IVV
2022-03-16,431.92999267578125,437.5899963378906,426.6700134277344,437.5199890136719,436.0716552734375,7961700,IVV
2022-03-17,435.44000244140625,443.0799865722656,435.1400146484375,442.9599914550781,441.49365234375,6514500,IVV
2022-03-18,441.3599853515625,448.239990234375,440.55999755859375,447.70001220703125,446.2179870605469,5275700,IVV
2022-03-21,447.7200012207031,449.8299865722656,444.0199890136719,447.6099853515625,446.1282653808594,5679100,IVV
2022-03-22,449.2200012207031,453.9599914550781,449.2200012207031,453.07000732421875,451.5701904296875,5356400,IVV
2022-03-23,450.3599853515625,451.8699951171875,447.1199951171875,447.3900146484375,445.90899658203125,5558000,IVV
2022-03-24,447.7900085449219,452.3900146484375,446.6499938964844,452.3599853515625,452.3599853515625,3491500,IVV
2022-03-25,453.1000061035156,454.95001220703125,450.3599853515625,454.6400146484375,454.6400146484375,6909400,IVV
