,open,high,low,close,adjclose,volume,ticker
2021-12-31,222.49000549316406,224.1199951171875,222.38999938964844,222.4499969482422,222.0135955810547,23997400,IWM
2022-01-03,223.7100067138672,226.69000244140625,222.72999572753906,225.32000732421875,224.8779754638672,30618800,IWM
2022-01-04,226.0,227.1300048828125,223.3800048828125,224.97999572753906,224.53863525390625,22013100,IWM
2022-01-05,224.8699951171875,225.91000366210938,217.32000732421875,217.36000061035156,216.93359375,40582100,IWM
2022-01-06,217.82000732421875,220.4199981689453,215.82000732421875,218.60000610351562,218.17115783691406,39105900,IWM
2022-01-07,218.60000610351562,220.3800048828125,215.92999267578125,216.07000732421875,215.64613342285156,31583900,IWM
2022-01-10,214.77000427246094,215.38999938964844,211.11000061035156,215.32000732421875,214.89759826660156,45778100,IWM
2022-01-11,215.47999572753906,217.8300018310547,212.9600067138672,217.61000061035156,217.18310546875,35209900,IWM
2022-01-12,218.52000427246094,219.3800048828125,214.63999938964844,215.99000549316406,215.5662841796875,35284500,IWM
2022-01-13,216.80999755859375,218.19000244140625,213.3800048828125,214.00999450683594,213.5901641845703,34489600,IWM
2022-01-14,211.99000549316406,214.39999389648438,210.5800018310547,214.30999755859375,213.8895721435547,42020900,IWM
2022-01-18,212.1999969482422,212.44000244140625,207.52999877929688,207.8300018310547,207.4222869873047,49434400,IWM
2022-01-19,208.80999755859375,209.4600067138672,204.3800048828125,204.4499969482422,204.04891967773438,46209100,IWM
2022-01-20,205.3800048828125,208.99000549316406,200.3300018310547,200.75,200.35617065429688,50466000,IWM
2022-01-21,199.75999450683594,203.02000427246094,196.99000549316406,196.99000549316406,196.6035614013672,85821000,IWM
2022-01-24,194.07000732421875,202.38999938964844,191.22999572753906,201.52999877929688,201.1346435546875,85782000,IWM
2022-01-25,198.47999572753906,201.6999969482422,194.55999755859375,198.83999633789062,198.44992065429688,61088500,IWM
2022-01-26,201.77999877929688,203.5500030517578,193.72000122070312,195.97000122070312,195.58555603027344,71471700,IWM
2022-01-27,197.6300048828125,199.61000061035156,190.60000610351562,191.52000427246094,191.144287109375,59829000,IWM
2022-01-28,191.6999969482422,195.30999755859375,188.08999633789062,195.25,194.86695861816406,65870000,IWM
2022-01-31,194.38999938964844,201.24000549316406,193.85000610351562,201.24000549316406,200.84521484375,53393800,IWM
2022-02-01,201.66000366210938,203.57000732421875,197.97000122070312,203.36000061035156,202.9610595703125,43429400,IWM
2022-02-02,203.6199951171875,203.89999389648438,199.2899932861328,201.33999633789062,200.94500732421875,42777800,IWM
2022-02-03,198.83999633789062,201.24000549316406,197.0500030517578,197.52999877929688,197.14248657226562,39629400,IWM
2022-02-04,197.0399932861328,200.10000610351562,194.9199981689453,198.3800048828125,197.99082946777344,34291100,IWM
2022-02-07,198.42999267578125,201.16000366210938,197.99000549316406,199.36000061035156,198.96890258789062,33242600,IWM
2022-02-08,199.47000122070312,203.1199951171875,199.36000061035156,202.75999450683594,202.3622283935547,28341900,IWM
