,open,high,low,close,adjclose,volume,ticker
2021-12-31,182.0399932861328,182.77000427246094,181.8000030517578,181.82000732421875,181.40660095214844,485900,MTUM
2022-01-03,183.16000366210938,183.4499969482422,180.9199981689453,182.2100067138672,181.79571533203125,1385300,MTUM
2022-01-04,182.86000061035156,183.1699981689453,180.02999877929688,181.5800018310547,181.16714477539062,1200900,MTUM
2022-01-05,181.1699981689453,181.1699981689453,175.3800048828125,175.49000549316406,175.09100341796875,1704000,MTUM
2022-01-06,175.38999938964844,177.1699981689453,173.44000244140625,176.11000061035156,175.70957946777344,1592500,MTUM
2022-01-07,176.3000030517578,177.14999389648438,173.6999969482422,174.49000549316406,174.09327697753906,799700,MTUM
2022-01-10,172.75,175.25,169.97999572753906,175.10000610351562,174.70188903808594,1578900,MTUM
2022-01-11,174.74000549316406,177.14999389648438,173.4499969482422,177.07000732421875,176.6674041748047,1198100,MTUM
2022-01-12,177.89999389648438,179.11000061035156,176.66000366210938,177.7899932861328,177.38575744628906,769700,MTUM
2022-01-13,178.19000244140625,178.3300018310547,172.4499969482422,172.8300018310547,172.43704223632812,1304600,MTUM
2022-01-14,170.9199981689453,172.99000549316406,169.97000122070312,172.14999389648438,171.75857543945312,2067900,MTUM
2022-01-18,169.38999938964844,170.22999572753906,167.27000427246094,167.67999267578125,167.29873657226562,1882200,MTUM
2022-01-19,169.0800018310547,169.94000244140625,165.67999267578125,165.77000427246094,165.39309692382812,1557300,MTUM
2022-01-20,166.6300048828125,169.32000732421875,163.74000549316406,163.94000244140625,163.5672607421875,2585400,MTUM
2022-01-21,162.74000549316406,164.3300018310547,159.80999755859375,159.99000549316406,159.62623596191406,3182100,MTUM
2022-01-24,156.00999450683594,161.0500030517578,151.36000061035156,160.83999633789062,160.47430419921875,4551100,MTUM
2022-01-25,157.57000732421875,160.5399932861328,155.83999633789062,158.30999755859375,157.95005798339844,3220100,MTUM
2022-01-26,161.55999755859375,163.6300048828125,156.47999572753906,158.47999572753906,158.11965942382812,4223900,MTUM
2022-01-27,160.55999755859375,161.6699981689453,155.8800048828125,156.50999450683594,156.15414428710938,3185200,MTUM
2022-01-28,156.00999450683594,160.60000610351562,153.9600067138672,160.60000610351562,160.23484802246094,2657300,MTUM
2022-01-31,160.57000732421875,165.44000244140625,160.50999450683594,165.39999389648438,165.02392578125,1854300,MTUM
2022-02-01,166.3300018310547,167.52999877929688,164.02999877929688,167.30999755859375,166.92959594726562,2253000,MTUM
2022-02-02,168.80999755859375,169.08999633789062,166.67999267578125,168.6199951171875,168.23660278320312,1766400,MTUM
2022-02-03,166.16000366210938,167.8300018310547,164.14999389648438,164.6699981689453,164.29559326171875,2406400,MTUM
2022-02-04,164.69000244140625,168.41000366210938,163.91000366210938,166.80999755859375,166.43072509765625,1934600,MTUM
2022-02-07,167.08999633789062,168.1199951171875,165.89999389648438,166.39999389648438,166.0216522216797,1285800,MTUM
2022-02-08,165.72000122070312,167.97999572753906,164.9600067138672,167.52999877929688,167.1490936279297,1741900,MTUM
2022-02-09,168.89999389648438,171.72999572753906,168.89999389648438,171.61000061035156,171.21981811523438,1773300,MTUM
2022-02-10,168.74000549316406,172.6699981689453,167.3800048828125,168.39999389648438,168.01710510253906,1364300,MTUM
2022-02-11,168.3000030517578,169.22999572753906,162.6699981689453,163.52999877929688,163.15818786621094,1805900,MTUM
2022-02-14,162.85000610351562,163.92999267578125,160.77999877929688,162.27999877929688,161.91102600097656,1184300,MTUM
2022-02-15,164.22999572753906,166.1699981689453,164.22999572753906,166.0800018310547,165.702392578125,737400,MTUM
2022-02-16,164.9499969482422,166.72000122070312,164.0500030517578,166.2100067138672,165.83209228515625,915800,MTUM
2022-02-17,164.52000427246094,164.61000061035156,160.25,160.57000732421875,160.20492553710938,946000,MTUM
2022-02-18,160.60000610351562,161.3800048828125,157.8300018310547,158.7100067138672,158.34915161132812,1310700,MTUM
2022-02-22,157.47999572753906,159.86000061035156,155.30999755859375,156.8000030517578,156.44349670410156,1851500,MTUM
2022-02-23,158.22000122070312,158.88999938964844,153.07000732421875,153.3699951171875,153.0212860107422,1246600,MTUM
2022-02-24,148.3800048828125,158.02000427246094,148.14999389648438,157.7100067138672,157.35142517089844,1410500,MTUM
2022-02-25,157.8699951171875,160.94000244140625,156.9499969482422,160.8000030517578,160.4344024658203,960500,MTUM
2022-02-28,158.85000610351562,161.89999389648438,158.6999969482422,160.97000122070312,160.60400390625,684900,MTUM
2022-03-01,160.75999450683594,161.13999938964844,157.3800048828125,158.4499969482422,158.08973693847656,1247200,MTUM
2022-03-02,159.52000427246094,162.5399932861328,158.86000061035156,161.9600067138672,161.59176635742188,2162900,MTUM
2022-03-03,162.4499969482422,162.50999450683594,158.63999938964844,159.61000061035156,159.24710083007812,1177300,MTUM
2022-03-04,158.13999938964844,158.4499969482422,155.47000122070312,157.07000732421875,156.71287536621094,1115900,MTUM
2022-03-07,156.92999267578125,157.00999450683594,150.75999450683594,150.83999633789062,150.49703979492188,2550200,MTUM
2022-03-08,150.7899932861328,153.91000366210938,149.0500030517578,150.07000732421875,149.72879028320312,2584200,MTUM
2022-03-09,153.86000061035156,156.92999267578125,153.13999938964844,156.08999633789062,155.73509216308594,1322300,MTUM
2022-03-10,153.9199981689453,155.6300048828125,152.97000122070312,155.3300018310547,154.97683715820312,1497200,MTUM
2022-03-11,156.14999389648438,156.60000610351562,152.22000122070312,152.3300018310547,151.98365783691406,1001300,MTUM
2022-03-14,152.47000122070312,154.02999877929688,149.97999572753906,150.5800018310547,150.2376251220703,1200700,MTUM
2022-03-15,151.35000610351562,154.6699981689453,150.80999755859375,154.42999267578125,154.07887268066406,863000,MTUM
2022-03-16,156.24000549316406,159.86000061035156,154.92999267578125,159.80999755859375,159.44664001464844,1283300,MTUM
2022-03-17,159.07000732421875,162.74000549316406,158.8699951171875,162.64999389648438,162.28018188476562,689500,MTUM
2022-03-18,161.92999267578125,165.9600067138672,161.92999267578125,165.82000732421875,165.4429931640625,768000,MTUM
2022-03-21,165.72000122070312,166.72000122070312,163.80999755859375,165.61000061035156,165.23345947265625,995500,MTUM
2022-03-22,166.07000732421875,169.0399932861328,166.07000732421875,168.6199951171875,168.23660278320312,574100,MTUM
2022-03-23,167.19000244140625,168.35000610351562,165.72000122070312,165.80999755859375,165.43299865722656,1181000,MTUM
2022-03-24,166.0500030517578,168.25,165.50999450683594,168.25,168.25,542000,MTUM
2022-03-25,168.25999450683594,168.74000549316406,166.69000244140625,168.19000244140625,168.19000244140625,628800,MTUM
2022-03-28,168.3300018310547,170.3300018310547,167.36000061035156,170.32000732421875,170.32000732421875,453400,MTUM
2022-03-29,172.10000610351562,173.11000061035156,170.30999755859375,172.74000549316406,172.74000549316406,531700,MTUM
