,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
COST,176.0,567.7000122070312,99915.2021484375,567.7000122070312,99915.2021484375,0.0
NVDA,340.0,294.1099853515625,99997.39501953125,294.1099853515625,99997.39501953125,0.0
GOOGL,34.0,2897.0400390625,98499.361328125,2897.0400390625,98499.361328125,0.0
HD,240.0,415.010009765625,99602.40234375,415.010009765625,99602.40234375,0.0
BX,772.0,129.38999938964844,99889.0795288086,129.38999938964844,99889.0795288086,0.0
CVS,969.0,103.16000366210938,99962.04354858398,103.16000366210938,99962.04354858398,0.0
GS,261.0,382.5499877929688,99845.54681396486,382.5499877929688,99845.54681396486,0.0
MRNA,393.0,253.97999572753903,99814.13832092284,253.97999572753903,99814.13832092284,0.0
PFE,1693.0,59.04999923706055,99971.6487083435,59.04999923706055,99971.6487083435,0.0
WFC,2084.0,47.97999954223633,99990.31904602051,47.97999954223633,99990.31904602051,0.0
Cash,2512.863193511963,1.0,2512.863193511963,1.0,2512.863193511963,0.0
Total,,,1000000.0,,1000000.0,0.0
