,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-12
COST,176.0,567.7000122070312,99915.2021484375,525.7999877929688,-0.07380662940479599,92540.7978515625
NVDA,340.0,294.1099853515625,99997.39501953124,279.989990234375,-0.048009234029606995,95196.5966796875
GOOGL,34.0,2897.0400390625,98499.361328125,2828.610107421875,-0.023620637173785597,96172.74365234375
HD,240.0,415.010009765625,99602.40234375,389.3999938964844,-0.0617093931869348,93455.99853515625
BX,772.0,129.38999938964844,99889.0795288086,122.33999633789062,-0.05448646019795744,94446.47717285156
CVS,969.0,103.16000366210938,99962.04354858398,105.77999877929688,0.025397392634543214,102500.81881713867
GS,261.0,382.5499877929688,99845.54681396486,390.30999755859375,0.020284956249494224,101870.90936279297
MRNA,393.0,253.97999572753903,99814.13832092284,222.88999938964844,-0.12241120112169335,87595.76976013184
PFE,1693.0,59.04999923706055,99971.6487083435,56.650001525878906,-0.04064348420305097,95908.45258331299
WFC,2084.0,47.97999954223633,99990.31904602052,56.400001525878906,0.1754898304288337,117537.60317993164
Cash,2512.863193511963,1.0,2512.863193511963,1,0.0,2512.863193511963
Total,,,1000000.0,,0.001580368183151215,979739.0307884216
