,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
AMZN,29.0,3334.340087890625,96695.86254882812,3334.340087890625,96695.86254882812,0.0
GOOGL,34.0,2897.0400390625,98499.361328125,2897.0400390625,98499.361328125,0.0
CAT,483.0,206.7400054931641,99855.42265319826,206.7400054931641,99855.42265319826,0.0
PYPL,530.0,188.5800018310547,99947.40097045898,188.5800018310547,99947.40097045898,0.0
PTON,2796.0,35.7599983215332,99984.95530700684,35.7599983215332,99984.95530700684,0.0
HLTH,7457.0,13.40999984741211,99998.3688621521,13.40999984741211,99998.3688621521,0.0
JPM,631.0,158.35000610351562,99918.85385131836,158.35000610351562,99918.85385131836,0.0
BAM,1656.0,60.380001068115234,99989.28176879883,60.380001068115234,99989.28176879883,0.0
AMAT,635.0,157.36000061035156,99923.60038757324,157.36000061035156,99923.60038757324,0.0
PEP,575.0,173.7100067138672,99883.25386047363,173.7100067138672,99883.25386047363,0.0
Cash,5303.63846206665,1.0,5303.63846206665,1.0,5303.63846206665,0.0
Total,,,1000000.0,,1000000.0,0.0
