,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-12
AMZN,29.0,3334.340087890625,96695.86254882812,3304.139892578125,-0.00905732304337481,95820.05688476562
GOOGL,34.0,2897.0400390625,98499.361328125,2828.610107421875,-0.023620637173785597,96172.74365234375
CAT,483.0,206.7400054931641,99855.42265319826,222.3999938964844,0.07574725736300758,107419.19705200197
PYPL,530.0,188.5800018310547,99947.40097045898,187.1999969482422,-0.007317875010144581,99215.99838256836
PTON,2796.0,35.7599983215332,99984.95530700684,34.4900016784668,-0.03551444917998403,96434.04469299316
HLTH,7457.0,13.40999984741211,99998.3688621521,10.199999809265137,-0.2393736073581273,76061.39857769012
JPM,631.0,158.35000610351562,99918.85385131836,168.44000244140625,0.0637195828795527,106285.64154052734
BAM,1656.0,60.380001068115234,99989.28176879884,58.959999084472656,-0.023517753536318575,97637.75848388672
AMAT,635.0,157.36000061035156,99923.60038757324,159.5500030517578,0.013917148150177194,101314.25193786621
PEP,575.0,173.7100067138672,99883.25386047363,173.89999389648438,0.0010937031562616717,99992.49649047852
Cash,5934.63846206665,1.0,5934.63846206665,1,0.0,5934.63846206665
Total,,,1000631.0,,-0.00599955562998522,982288.2261571884
