,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
MU,1073.0,93.1500015258789,99949.95163726807,93.1500015258789,99949.95163726807,0.0
TTD,1091.0,91.63999938964844,99979.23933410645,91.63999938964844,99979.23933410645,0.0
FTNT,278.0,359.3999938964844,99913.19830322266,359.3999938964844,99913.19830322266,0.0
TCN,6544.0,15.279999732971191,99992.31825256348,15.279999732971191,99992.31825256348,0.0
TENB,1815.0,55.06999969482422,99952.04944610596,55.06999969482422,99952.04944610596,0.0
UCTT,1743.0,57.36000061035156,99978.48106384277,57.36000061035156,99978.48106384277,0.0
EPAM,149.0,668.4500122070312,99599.05181884766,668.4500122070312,99599.05181884766,0.0
ZIM,1698.0,58.86000061035156,99944.28103637695,58.86000061035156,99944.28103637695,0.0
LSCC,1297.0,77.05999755859375,99946.8168334961,77.05999755859375,99946.8168334961,0.0
FIVE,483.0,206.88999938964844,99927.8697052002,206.88999938964844,99927.8697052002,0.0
Cash,1382.1225689697267,1.0,1382.1225689697267,1.0,1382.1225689697267,0.0
Total,,,1000565.38,,1000565.38,0.0
