,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-20
MU,1073.0,93.1500015258789,99949.95163726808,85.06999969482422,-0.08674183251419398,91280.10967254639
TTD,1091.0,91.63999938964844,99979.23933410645,67.7300033569336,-0.2609122238319842,73893.43366241455
FTNT,278.0,359.3999938964844,99913.19830322266,304.989990234375,-0.15139122032868124,84787.21728515625
TCN,6544.0,15.279999732971191,99992.31825256348,14.93000030517578,-0.022905722114653138,97701.9219970703
TENB,1815.0,55.06999969482422,99952.04944610596,49.56999969482422,-0.09987288960375496,89969.54944610596
UCTT,1743.0,57.36000061035156,99978.48106384276,50.16999816894531,-0.1253487162639375,87446.30680847168
EPAM,149.0,668.4500122070312,99599.05181884766,486.0700073242188,-0.2728401549139713,72424.43109130861
ZIM,1698.0,58.86000061035156,99944.28103637695,61.34000015258789,0.04213386878219261,104155.32025909424
LSCC,1297.0,77.05999755859375,99946.8168334961,56.08000183105469,-0.2722553385962231,72735.76237487793
FIVE,483.0,206.88999938964844,99927.8697052002,162.7100067138672,-0.21354339410371592,78588.93324279785
Cash,1382.122568969727,1.0,1382.122568969727,1,0.0,1382.122568969727
Total,,,1000565.38,,-0.020370532527042906,854365.1084088135
