,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
AMZN,29.0,3334.340087890625,96695.86254882812,3334.340087890625,96695.86254882812,0.0
AAPL,563.0,177.57000732421875,99971.91412353516,177.57000732421875,99971.91412353516,0.0
NVDA,340.0,294.1099853515625,99997.39501953125,294.1099853515625,99997.39501953125,0.0
RBLX,969.0,103.16000366210938,99962.04354858398,103.16000366210938,99962.04354858398,0.0
U,699.0,142.99000549316406,99950.01383972168,142.99000549316406,99950.01383972168,0.0
MSFT,297.0,336.32000732421875,99887.04217529297,336.32000732421875,99887.04217529297,0.0
FSLY,2820.0,35.45000076293945,99969.00215148926,35.45000076293945,99969.00215148926,0.0
FB,297.0,336.3500061035156,99895.95181274414,336.3500061035156,99895.95181274414,0.0
IMMR,17513.0,5.710000038146973,99999.23066806793,5.710000038146973,99999.23066806793,0.0
MTTR,4844.0,20.63999938964844,99980.15704345705,20.63999938964844,99980.15704345705,0.0
Cash,3691.387068748474,1.0,3691.387068748474,1.0,3691.387068748474,0.0
Total,,,1000000.0,,1000000.0,0.0
