,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-24
AMZN,29.0,3334.340087890625,96695.86254882812,2890.8798828125,-0.13299789265307593,83835.5166015625
AAPL,563.0,177.57000732421875,99971.91412353516,161.6199951171875,-0.08982379652611427,90992.05725097656
NVDA,340.0,294.1099853515625,99997.39501953124,233.72000122070312,-0.20533129488504975,79464.80041503906
RBLX,969.0,103.16000366210938,99962.04354858398,70.73999786376953,-0.31426914159996,68547.05792999268
U,699.0,142.99000549316406,99950.01383972168,110.91999816894533,-0.22428146088680234,77533.07872009279
MSFT,297.0,336.32000732421875,99887.04217529295,296.3699951171875,-0.11878571401349503,88021.88854980469
FSLY,2820.0,35.45000076293945,99969.00215148926,28.0,-0.21015516509460608,78960.0
FB,297.0,336.3500061035156,99895.95181274414,308.7099914550781,-0.0821763465047507,91686.8674621582
IMMR,17513.0,5.710000038146973,99999.23066806792,5.110000133514404,-0.10507879170299994,89491.43233823776
MTTR,4844.0,20.63999938964844,99980.15704345705,10.4399995803833,-0.4941860518843201,50571.35796737671
Cash,3691.387068748474,1.0,3691.387068748474,1,0.0,3691.387068748474
Total,,,1000000.0,,0.009162643635521439,802795.4443039894
