,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-04
RIVN,964.0,103.69000244140624,99957.1623535156,47.38999938964844,-0.5429646226845459,45683.959411621094
LCID,2628.0,38.04999923706055,99995.39799499512,22.6299991607666,-0.40525625191800074,59471.63779449463
APPS,1639.0,60.9900016784668,99962.61275100708,40.720001220703125,-0.33234956386171444,66740.08200073242
BUR,9469.0,10.5600004196167,99992.64397335052,8.609999656677246,-0.18465915581944958,81528.08674907684
FIGS,3628.0,27.559999465942383,99987.67806243896,13.4399995803833,-0.5123367256595215,48760.318477630615
AMZN,29.0,3334.340087890625,96695.86254882812,2912.820068359375,-0.12641782434314086,84471.78198242188
COST,176.0,567.7000122070312,99915.2021484375,525.5,-0.07433505601483337,92488.0
AAPL,563.0,177.57000732421875,99971.91412353516,163.1699981689453,-0.08109482773732712,91864.70896911621
NVDA,340.0,294.1099853515625,99997.39501953124,229.3600006103516,-0.22015568313266343,77982.40020751955
ROKU,438.0,228.1999969482422,99951.59866333008,121.5,-0.4675722978753707,53217.0
Cash,3849.0323610305777,1.0,3849.0323610305777,1,0.0,3849.0323610305777
Total,,,1000276.5,,-0.03439297142015396,706057.0079536438
