,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
PDD,1715.0,58.29999923706055,99984.49869155884,58.29999923706055,99984.49869155884,0.0
HUYA,14409.0,6.940000057220459,99998.4608244896,6.940000057220459,99998.4608244896,0.0
BILI,2155.0,46.400001525878906,99992.00328826904,46.400001525878906,99992.00328826904,0.0
IQ,21929.0,4.559999942779541,99996.23874521255,4.559999942779541,99996.23874521255,0.0
JD,1427.0,70.06999969482422,99989.88956451416,70.06999969482422,99989.88956451416,0.0
BIDU,672.0,148.7899932861328,99986.87548828125,148.7899932861328,99986.87548828125,0.0
BABA,841.0,118.79000091552734,99902.3907699585,118.79000091552734,99902.3907699585,0.0
DIDI,20080.0,4.980000019073486,99998.4003829956,4.980000019073486,99998.4003829956,0.0
VZIO,5146.0,19.43000030517578,99986.78157043457,19.43000030517578,99986.78157043457,0.0
NIO,3156.0,31.68000030517578,99982.08096313477,31.68000030517578,99982.08096313477,0.0
Cash,182.37971115112305,1.0,182.37971115112305,1.0,182.37971115112305,0.0
Total,,,1000000.0,,1000000.0,0.0
