,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-03
PDD,1715.0,58.29999923706055,99984.49869155884,56.09999847412109,-0.03773586263687201,96211.49738311766
HUYA,14409.0,6.940000057220459,99998.4608244896,7.039999961853027,0.014409208041508137,101439.35945034027
BILI,2155.0,46.400001525878906,99992.00328826904,44.38999938964844,-0.043319010132131575,95660.44868469238
IQ,21929.0,4.559999942779541,99996.23874521255,4.539999961853027,-0.004385960784535126,99557.65916347504
JD,1427.0,70.06999969482422,99989.88956451416,68.33000183105469,-0.02483228016765726,97506.91261291504
BIDU,672.0,148.7899932861328,99986.87548828124,149.10000610351562,0.0020835595898351933,100195.2041015625
BABA,841.0,118.79000091552734,99902.3907699585,120.37999725341795,0.013384934132808501,101239.5776901245
DIDI,20080.0,4.980000019073486,99998.4003829956,5.25,0.05421686343221066,105420.0
VZIO,5146.0,19.43000030517578,99986.78157043456,19.46999931335449,0.0020586210782536085,100192.6164665222
NIO,3156.0,31.68000030517578,99982.08096313477,33.470001220703125,0.05650255360745371,105631.32385253906
Cash,182.37971115112305,1.0,182.37971115112305,1,0.0,182.37971115112305
Total,,,1000000.0,,0.00323697911643972,1003236.9791164398
