,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
AMZN,59.0,3334.340087890625,196726.06518554688,3334.340087890625,196726.06518554688,0.0
DIS,968.0,154.88999938964844,149933.5194091797,154.88999938964844,149933.5194091797,0.0
MSFT,297.0,336.32000732421875,99887.04217529297,336.32000732421875,99887.04217529297,0.0
FB,297.0,336.3500061035156,99895.95181274414,336.3500061035156,99895.95181274414,0.0
INTC,1941.0,51.5,99961.5,51.5,99961.5,0.0
FDX,386.0,258.6400146484375,99835.04565429688,258.6400146484375,99835.04565429688,0.0
ADBE,264.0,567.0599975585938,149703.83935546875,567.0599975585938,149703.83935546875,0.0
AB,2047.0,48.84000015258789,99975.48031234741,48.84000015258789,99975.48031234741,0.0
Cash,4081.556095123291,1.0,4081.556095123291,1.0,4081.556095123291,0.0
Total,,,1000000.0,,1000000.0,0.0
