,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-11
AMZN,59.0,3334.340087890625,196726.06518554688,2910.489990234375,-0.12711663672087714,171718.90942382812
DIS,968.0,154.88999938964844,149933.5194091797,131.75,-0.1493963424419441,127534.0
MSFT,297.0,336.32000732421875,99887.04217529295,280.07000732421875,-0.1672514235698559,83180.79217529297
FB,297.0,336.3500061035156,99895.95181274414,187.6100006103516,-0.44221793606088877,55720.17018127442
INTC,1941.0,51.5,99961.5,45.83000183105469,-0.11009705182418084,88956.03355407715
FDX,386.0,258.6400146484375,99835.04565429688,213.17999267578125,-0.1757656178393311,82287.47717285156
ADBE,264.0,567.0599975585938,149703.83935546875,416.3800048828125,-0.26572142863985326,109924.3212890625
AB,2047.0,48.84000015258789,99975.4803123474,43.84000015258789,-0.1023751020552578,89740.48031234741
Cash,7904.2910951232925,1.0,7904.2910951232925,1,0.0,7904.2910951232925
Total,,,1003822.735,,-0.021791494092668118,816966.4752038574
