,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
AMZN,29.0,3334.340087890625,96695.86254882812,3334.340087890625,96695.86254882812,0.0
HD,240.0,415.010009765625,99602.40234375,415.010009765625,99602.40234375,0.0
PFE,1693.0,59.04999923706055,99971.6487083435,59.04999923706055,99971.6487083435,0.0
PYPL,530.0,188.5800018310547,99947.40097045898,188.5800018310547,99947.40097045898,0.0
NKE,599.0,166.6699981689453,99835.32890319824,166.6699981689453,99835.32890319824,0.0
LUV,2334.0,42.84000015258789,99988.56035614014,42.84000015258789,99988.56035614014,0.0
SNAP,2126.0,47.02999877929688,99985.77740478517,47.02999877929688,99985.77740478517,0.0
HUT,12738.0,7.849999904632568,99993.29878520966,7.849999904632568,99993.29878520966,0.0
UBER,2384.0,41.93000030517578,99961.12072753906,41.93000030517578,99961.12072753906,0.0
SBUX,854.0,116.97000122070312,99892.38104248047,116.97000122070312,99892.38104248047,0.0
Cash,4126.218209266663,1.0,4126.218209266663,1.0,4126.218209266663,0.0
Total,,,1000000.0,,1000000.0,0.0
