,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-29
AMZN,29.0,3334.340087890625,96695.86254882812,3386.300048828125,0.01558328171928336,98202.70141601562
HD,240.0,415.010009765625,99602.40234375,317.7099914550781,-0.23445222047896297,76250.39794921875
PFE,1693.0,59.04999923706055,99971.6487083435,52.7400016784668,-0.10685855444742354,89288.82284164429
PYPL,530.0,188.5800018310547,99947.40097045898,121.18000030517578,-0.35740800122730576,64225.400161743164
NKE,599.0,166.6699981689453,99835.32890319824,139.13999938964844,-0.16517669095664744,83344.85963439941
LUV,2334.0,42.84000015258789,99988.56035614014,45.33000183105469,0.058123288272593054,105800.22427368164
SNAP,2126.0,47.02999877929688,99985.77740478516,37.869998931884766,-0.19476929800483944,80511.61772918701
HUT,12738.0,7.849999904632568,99993.29878520966,6.090000152587891,-0.22420379279317426,77574.42194366455
UBER,2384.0,41.93000030517578,99961.12072753906,37.18999862670898,-0.11304559131810221,88660.9567260742
SBUX,854.0,116.97000122070312,99892.38104248048,91.2300033569336,-0.22005640416470895,77910.42286682129
Cash,5860.573209266662,1.0,5860.573209266662,1,0.0,5860.573209266662
Total,,,1001734.355,,-0.15236960124828336,847630.3987517166
