,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
AMZN,29.0,3334.340087890625,96695.86254882812,3334.340087890625,96695.86254882812,0.0
NVDA,340.0,294.1099853515625,99997.39501953125,294.1099853515625,99997.39501953125,0.0
COIN,396.0,252.3699951171875,99938.51806640625,252.3699951171875,99938.51806640625,0.0
PYPL,530.0,188.5800018310547,99947.40097045898,188.5800018310547,99947.40097045898,0.0
CHWY,1695.0,58.970001220703125,99954.1520690918,58.970001220703125,99954.1520690918,0.0
TRUP,757.0,132.02999877929688,99946.70907592773,132.02999877929688,99946.70907592773,0.0
AMD,694.0,143.89999389648438,99866.59576416016,143.89999389648438,99866.59576416016,0.0
ZM,543.0,183.91000366210935,99863.13198852538,183.91000366210935,99863.13198852538,0.0
EL,270.0,370.2000122070313,99954.00329589845,370.2000122070313,99954.00329589845,0.0
NKE,599.0,166.6699981689453,99835.32890319824,166.6699981689453,99835.32890319824,0.0
Cash,4000.902297973633,1.0,4000.902297973633,1.0,4000.902297973633,0.0
Total,,,1000000.0,,1000000.0,0.0
