,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-13
AMZN,29.0,3334.340087890625,96695.86254882812,3224.280029296875,-0.03300804827721593,93504.12084960938
NVDA,340.0,294.1099853515625,99997.39501953124,265.75,-0.0964264620858164,90355.0
COIN,396.0,252.3699951171875,99938.51806640624,228.22999572753903,-0.09565320702423075,90379.07830810545
PYPL,530.0,188.5800018310547,99947.40097045898,181.00999450683597,-0.04014215320138004,95935.29708862306
CHWY,1695.0,58.970001220703125,99954.1520690918,46.09000015258789,-0.2184161573934873,78122.55025863647
TRUP,757.0,132.02999877929688,99946.70907592772,100.4800033569336,-0.23896080977098744,76063.36254119873
AMD,694.0,143.89999389648438,99866.59576416016,132.74000549316406,-0.07755377954601128,92121.56381225586
ZM,543.0,183.9100036621093,99863.13198852538,162.10000610351562,-0.1185905993382741,88020.30331420898
EL,270.0,370.2000122070313,99954.00329589844,334.3800048828125,-0.09675852550806163,90282.60131835938
NKE,599.0,166.6699981689453,99835.32890319824,149.58999633789062,-0.10247796255293362,89604.40780639648
Cash,4000.902297973633,1.0,4000.902297973633,1,0.0,4000.902297973633
Total,,,1000000.0,,-0.036830146838122246,888389.1875953674
