,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
DKNG,3640.0,27.46999931335449,99990.79750061034,27.46999931335449,99990.79750061034,0.0
TSP,2789.0,35.849998474121094,99985.64574432373,35.849998474121094,99985.64574432373,0.0
PD,2877.0,34.75,99975.75,34.75,99975.75,0.0
FATE,1709.0,58.5099983215332,99993.58713150024,58.5099983215332,99993.58713150024,0.0
SI,674.0,148.1999969482422,99886.79794311523,148.1999969482422,99886.79794311523,0.0
NRIX,3454.0,28.950000762939453,99993.30263519287,28.950000762939453,99993.30263519287,0.0
TDOC,1089.0,91.81999969482422,99991.97966766357,91.81999969482422,99991.97966766357,0.0
EXAS,1284.0,77.83000183105469,99933.72235107422,77.83000183105469,99933.72235107422,0.0
BEAM,1254.0,79.69000244140625,99931.26306152344,79.69000244140625,99931.26306152344,0.0
U,699.0,142.99000549316406,99950.01383972168,142.99000549316406,99950.01383972168,0.0
Cash,367.1401252746582,1.0,367.1401252746582,1.0,367.1401252746582,0.0
Total,,,1000000.0,,1000000.0,0.0
