,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-09
DKNG,3640.0,27.46999931335449,99990.79750061034,23.420000076293945,-0.14743353979960394,85248.80027770996
TSP,2789.0,35.849998474121094,99985.64574432372,16.09000015258789,-0.5511854717594278,44875.01042556763
PD,2877.0,34.75,99975.75,33.790000915527344,-0.027625872934464946,97213.83263397217
FATE,1709.0,58.5099983215332,99993.58713150024,40.95000076293945,-0.3001196045519491,69983.55130386353
SI,674.0,148.1999969482422,99886.79794311523,127.1999969482422,-0.14170040777621662,85732.79794311525
NRIX,3454.0,28.950000762939453,99993.30263519289,19.690000534057617,-0.3198618302192272,68009.26184463501
TDOC,1089.0,91.81999969482422,99991.97966766356,75.88999938964844,-0.17349161792769774,82644.20933532715
EXAS,1284.0,77.83000183105469,99933.72235107422,82.54000091552734,0.06051649715615626,105981.36117553711
BEAM,1254.0,79.69000244140625,99931.26306152344,68.4000015258789,-0.14167399384670054,85773.60191345215
U,699.0,142.99000549316406,99950.01383972168,115.51000213623048,-0.1921812875113661,80741.49149322511
Cash,367.1401252746582,1.0,367.1401252746582,1,0.0,367.1401252746582
Total,,,1000000.0,,0.047643136688211296,806571.0584716797
