,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
NVDA,340.0,294.1099853515625,99997.39501953125,294.1099853515625,99997.39501953125,0.0
COIN,396.0,252.3699951171875,99938.51806640625,252.3699951171875,99938.51806640625,0.0
TWLO,379.0,263.3399963378906,99805.85861206055,263.3399963378906,99805.85861206055,0.0
MSFT,297.0,336.32000732421875,99887.04217529297,336.32000732421875,99887.04217529297,0.0
TSLA,94.0,1056.780029296875,99337.32275390625,1056.780029296875,99337.32275390625,0.0
MRNA,393.0,253.97999572753903,99814.13832092284,253.97999572753903,99814.13832092284,0.0
AVGO,150.0,665.4099731445312,99811.49597167969,665.4099731445312,99811.49597167969,0.0
XOM,1634.0,61.18999862670898,99984.45775604247,61.18999862670898,99984.45775604247,0.0
BZH,4306.0,23.21999931335449,99985.31704330443,23.21999931335449,99985.31704330443,0.0
FOA,25188.0,3.9700000286102295,99996.36072063446,3.9700000286102295,99996.36072063446,0.0
Cash,1442.093560218811,1.0,1442.093560218811,1.0,1442.093560218811,0.0
Total,,,1000000.0,,1000000.0,0.0
