,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-28
NVDA,340.0,294.1099853515625,99997.39501953124,228.3999938964844,-0.22341979098918396,77655.9979248047
COIN,396.0,252.3699951171875,99938.51806640624,177.5800018310547,-0.2963505754771054,70321.68072509766
TWLO,379.0,263.3399963378906,99805.85861206056,188.22999572753903,-0.2852206336100128,71339.16838073729
MSFT,297.0,336.32000732421875,99887.04217529295,308.260009765625,-0.08343243621407082,91553.22290039062
TSLA,94.0,1056.780029296875,99337.32275390624,846.3499755859375,-0.19912379859311524,79556.89770507812
MRNA,393.0,253.97999572753903,99814.13832092284,159.47000122070312,-0.37211589927036204,62671.71047973633
AVGO,150.0,665.4099731445312,99811.49597167967,560.0999755859375,-0.15826332908857632,84014.99633789062
XOM,1634.0,61.18999862670898,99984.45775604248,75.27999877929688,0.23026639105753643,123007.5180053711
BZH,4306.0,23.21999931335449,99985.31704330444,17.780000686645508,-0.23428074020571932,76560.68295669556
FOA,25188.0,3.9700000286102295,99996.36072063446,3.75,-0.055415623935711755,94455.0
Cash,1442.093560218811,1.0,1442.093560218811,1,0.0,1442.093560218811
Total,,,1000000.0,,0.028063615437230238,832578.9689760208
