,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
RCL,1300.0,76.9000015258789,99970.00198364258,76.9000015258789,99970.00198364258,0.0
CCL,4970.0,20.1200008392334,99996.40417098999,20.1200008392334,99996.40417098999,0.0
TSLA,94.0,1056.780029296875,99337.32275390625,1056.780029296875,99337.32275390625,0.0
TTD,1091.0,91.63999938964844,99979.23933410645,91.63999938964844,99979.23933410645,0.0
UAL,2284.0,43.77999877929688,99993.51721191408,43.77999877929688,99993.51721191408,0.0
LUV,2334.0,42.84000015258789,99988.56035614014,42.84000015258789,99988.56035614014,0.0
ALK,1919.0,52.09999847412109,99979.89707183836,52.09999847412109,99979.89707183836,0.0
CZR,1069.0,93.52999877929688,99983.56869506836,93.52999877929688,99983.56869506836,0.0
PENN,1928.0,51.84999847412109,99966.79705810545,51.84999847412109,99966.79705810545,0.0
ABNB,600.0,166.49000549316406,99894.00329589844,166.49000549316406,99894.00329589844,0.0
Cash,910.6880683898926,1.0,910.6880683898926,1.0,910.6880683898926,0.0
Total,,,1000000.0,,1000000.0,0.0
