,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-17
RCL,1300.0,76.9000015258789,99970.00198364258,85.13999938964844,0.10715211573821048,110681.99920654297
CCL,4970.0,20.1200008392334,99996.40417099,22.420000076293945,0.11431407262049476,111427.40037918091
TSLA,94.0,1056.780029296875,99337.32275390624,876.3499755859375,-0.17073567697052894,82376.89770507812
TTD,1091.0,91.63999938964844,99979.23933410645,79.41000366210938,-0.13345695994101625,86636.31399536133
UAL,2284.0,43.77999877929688,99993.51721191408,48.36000061035156,0.10461402372675521,110454.24139404297
LUV,2334.0,42.84000015258789,99988.56035614014,46.380001068115234,0.0826330742978183,108250.92249298096
ALK,1919.0,52.09999847412109,99979.89707183836,58.88999938964844,0.13032631697484698,113009.90882873535
CZR,1069.0,93.52999877929688,99983.56869506836,81.91999816894531,-0.12413130291755625,87572.47804260254
PENN,1928.0,51.84999847412109,99966.79705810544,49.310001373291016,-0.04898740936507073,95069.68264770508
ABNB,600.0,166.49000549316406,99894.00329589844,183.6000061035156,0.10276893534641673,110160.00366210936
Cash,910.6880683898926,1.0,910.6880683898926,1,0.0,910.6880683898926
Total,,,1000000.0,,-0.028077542177469272,1016550.5364227295
