,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-05
AMZN,29.0,3334.340087890625,96695.86254882812,3287.139892578125,-0.01415578317398325,95327.05688476562
AAPL,619.0,177.57000732421875,109915.8345336914,174.9199981689453,-0.01492374300821464,108275.47886657715
NVDA,680.0,294.1099853515625,199994.7900390625,276.0400085449219,-0.06143952163011668,187707.20581054688
HD,120.0,415.010009765625,49801.201171875,407.239990234375,-0.01872248704468138,48868.798828125
MSFT,356.0,336.32000732421875,119729.92260742188,316.3800048828125,-0.0592887785655396,112631.28173828125
GOOG,41.0,2893.590087890625,118637.19360351562,2753.070068359375,-0.048562517586479115,112875.87280273438
SOFI,3162.0,15.8100004196167,49991.221326828,14.100000381469728,-0.1081593923315296,44584.20120620728
CRWD,244.0,204.75,49959.0,179.2899932861328,-0.12434679713732444,43746.758361816406
CAT,241.0,206.7400054931641,49824.34132385255,219.75,0.06292925491513568,52959.75
TSLA,141.0,1056.780029296875,149005.98413085938,1088.1199951171875,0.029656092045157623,153424.91931152344
Cash,6444.648714065552,1.0,6444.648714065552,1,0.0,6444.648714065552
Total,,,1000000.0,,-0.04035474868502331,966845.972524643
