,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
APPS,4099.0,60.9900016784668,249998.0168800354,60.9900016784668,249998.0168800354,0.0
BUR,4734.0,10.5600004196167,49991.041986465454,10.5600004196167,49991.041986465454,0.0
RAPT,4083.0,36.72999954223633,149968.58813095093,36.72999954223633,149968.58813095093,0.0
CVNA,647.0,231.7899932861328,149968.12565612793,231.7899932861328,149968.12565612793,0.0
CURV,8097.0,9.880000114440918,79998.36092662811,9.880000114440918,79998.36092662811,0.0
FSLY,1974.0,35.45000076293945,69978.30150604248,35.45000076293945,69978.30150604248,0.0
AYX,826.0,60.5,49973.0,60.5,49973.0,0.0
CRCT,2263.0,22.09000015258789,49989.6703453064,22.09000015258789,49989.6703453064,0.0
W,789.0,189.97000122070312,149886.33096313477,189.97000122070312,149886.33096313477,0.0
Cash,248.56360530853271,1.0,248.56360530853271,1.0,248.56360530853271,0.0
Total,,,1000000.0,,1000000.0,0.0
