,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-28
APPS,4099.0,60.9900016784668,249998.0168800354,40.02999877929688,-0.34366293363408906,164082.96499633792
BUR,4734.0,10.5600004196167,49991.041986465454,9.109999656677246,-0.13731067285242438,43126.73837471008
RAPT,4083.0,36.72999954223633,149968.58813095093,19.86000061035156,-0.45929755355661595,81088.38249206542
CVNA,647.0,231.7899932861328,149968.12565612793,145.99000549316406,-0.3701626052814674,94455.53355407715
CURV,8097.0,9.880000114440918,79998.36092662811,8.819999694824219,-0.10728749062131782,71415.5375289917
FSLY,1974.0,35.45000076293945,69978.30150604248,25.049999237060547,-0.29337098172227394,49448.69849395752
AYX,826.0,60.5,49973.0,53.2599983215332,-0.1196694492308561,43992.758613586426
CRCT,2263.0,22.09000015258789,49989.6703453064,18.979999542236328,-0.14078771339380092,42951.73896408081
W,789.0,189.97000122070312,149886.33096313477,146.77999877929688,-0.2273516984991173,115809.41903686523
Cash,248.56360530853271,1.0,248.56360530853271,1,0.0,248.56360530853271
Total,,,1000000.0,,0.03645002036000111,706620.3356599808
