,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-14
ENJY,21645.0,4.619999885559082,99999.89752292632,3.240000009536743,-0.29870127926536516,70129.8002064228
COIN,396.0,252.3699951171875,99938.51806640624,230.02999877929688,-0.08852080980354682,91091.87951660156
DIS,645.0,154.88999938964844,99904.04960632324,151.94000244140625,-0.019045754792864522,98001.30157470703
GOOGL,34.0,2897.0400390625,98499.361328125,2789.610107421875,-0.037082653395218546,94846.74365234375
RBLX,969.0,103.16000366210938,99962.04354858398,79.05000305175781,-0.23371461568886276,76599.45295715332
CCL,4970.0,20.1200008392334,99996.40417099,22.950000762939453,0.1406560539593833,114061.50379180908
WMT,691.0,144.69000244140625,99980.79168701172,145.05999755859375,0.0025571574465714786,100236.45831298828
DKNG,3640.0,27.46999931335449,99990.79750061034,23.190000534057617,-0.1558062936396274,84411.60194396973
HD,240.0,415.010009765625,99602.40234375,372.0,-0.10363607805487562,89280.0
TWLO,379.0,263.3399963378906,99805.85861206056,215.16000366210935,-0.1829573682152017,81545.64138793944
Cash,2319.875613212585,1.0,2319.875613212585,1,0.0,2319.875613212585
Total,,,1000000.0,,-0.014492727307601205,902524.2589571476
