,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
DIS,1001.0,154.88999938964844,155044.8893890381,154.88999938964844,155044.8893890381,0.0
NET,1001.0,131.5,131631.5,131.5,131631.5,0.0
MO,500.0,47.38999938964844,23694.99969482422,47.38999938964844,23694.99969482422,0.0
PM,1001.0,95.0,95095.0,95.0,95095.0,0.0
SE,1001.0,223.7100067138672,223933.71672058105,223.7100067138672,223933.71672058105,0.0
KO,1001.0,59.209999084472656,59269.20908355713,59.209999084472656,59269.20908355713,0.0
FANG,1001.0,107.8499984741211,107957.84847259521,107.8499984741211,107957.84847259521,0.0
CRM,500.0,254.1300048828125,127065.00244140625,254.1300048828125,127065.00244140625,0.0
ARCC,1001.0,21.190000534057617,21211.190534591675,21.190000534057617,21211.190534591675,0.0
GILD,751.0,72.61000061035156,54530.11045837402,72.61000061035156,54530.11045837402,0.0
Cash,566.5332050323486,1.0,566.5332050323486,1.0,566.5332050323486,0.0
Total,,,1000000.0,,1000000.0,0.0
