,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-11
AAPL,281.0,177.57000732421875,49897.17205810547,168.63999938964844,-0.05029006907830624,47387.83982849121
NVDA,340.0,294.1099853515625,99997.39501953124,239.4900054931641,-0.18571276929992264,81426.6018676758
GOOGL,51.0,2897.0400390625,147749.0419921875,2685.64990234375,-0.0729676269117624,136968.14501953125
RBLX,1211.0,103.16000366210938,124926.76443481444,66.80999755859375,-0.3523653045086791,80906.90704345703
MSFT,446.0,336.32000732421875,149998.72326660156,295.0400085449219,-0.12274024108087689,131587.84381103516
CRWD,366.0,204.75,74938.5,181.8600006103516,-0.11179486881391154,66560.76022338869
TSLA,47.0,1056.780029296875,49668.661376953125,860.0,-0.18620718015252613,40420.0
PYPL,397.0,188.5800018310547,74866.26072692871,115.29000091552734,-0.3886414264710131,45770.130363464355
CRM,393.0,254.1300048828125,99873.09191894533,207.8999938964844,-0.1819148077679621,81704.69760131837
NFLX,207.0,602.4400024414062,124705.0805053711,391.30999755859375,-0.35045814359471783,81001.1694946289
Cash,3441.128700561524,1.0,3441.128700561524,1,0.0,3441.128700561524
Total,,,1000061.82,,-0.038048792543382226,797175.2239535522
