,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
INTC,1941.0,51.5,99961.5,51.5,99961.5,0.0
AMGN,444.0,224.97000122070312,99886.68054199219,224.97000122070312,99886.68054199219,0.0
KO,1688.0,59.209999084472656,99946.47845458984,59.209999084472656,99946.47845458984,0.0
DOW,1763.0,56.720001220703125,99997.36215209961,56.720001220703125,99997.36215209961,0.0
IBM,748.0,133.66000366210938,99977.68273925781,133.66000366210938,99977.68273925781,0.0
VZ,1924.0,51.959999084472656,99971.03823852539,51.959999084472656,99971.03823852539,0.0
CVX,852.0,117.3499984741211,99982.19869995117,117.3499984741211,99982.19869995117,0.0
WBA,1917.0,52.15999984741211,99990.71970748901,52.15999984741211,99990.71970748901,0.0
MRK,1304.0,76.63999938964844,99938.55920410156,76.63999938964844,99938.55920410156,0.0
MMM,562.0,177.6300048828125,99828.06274414062,177.6300048828125,99828.06274414062,0.0
Cash,519.7175178527832,1.0,519.7175178527832,1.0,519.7175178527832,0.0
Total,,,1000000.0,,1000000.0,0.0
