,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-03-15
INTC,1941.0,51.5,99961.5,44.810001373291016,-0.12990288595551425,86976.21266555786
AMGN,444.0,224.97000122070312,99886.6805419922,231.55999755859372,0.029292778157677724,102812.63891601561
KO,1688.0,59.209999084472656,99946.47845458984,59.619998931884766,0.006924503525615355,100638.55819702148
DOW,1763.0,56.720001220703125,99997.3621520996,58.869998931884766,0.03790545953650093,103787.80811691284
IBM,748.0,133.66000366210938,99977.6827392578,125.63999938964844,-0.06000302298910132,93978.71954345703
VZ,1924.0,51.959999084472656,99971.0382385254,52.7599983215332,0.015396444402548282,101510.23677062988
CVX,852.0,117.3499984741211,99982.19869995116,158.27999877929688,0.3487856909874778,134854.55895996094
WBA,1917.0,52.15999984741211,99990.719707489,48.16999816894531,-0.07649543117597901,92341.88648986816
MRK,1304.0,76.63999938964844,99938.55920410156,78.63999938964844,0.026096033610748304,102546.55920410156
MMM,562.0,177.6300048828125,99828.06274414062,144.30999755859375,-0.18758096272192804,81102.21862792969
Cash,10386.790017852782,1.0,10386.790017852782,1,0.0,10386.790017852782
Total,,,1009867.0725,,-0.0021284496893905214,1010936.1875093079
