,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
FB,297.0,336.3500061035156,99895.95181274414,336.3500061035156,99895.95181274414,0.0
TRMB,1146.0,87.19000244140625,99919.74279785156,87.19000244140625,99919.74279785156,0.0
ORCL,1146.0,87.20999908447266,99942.65895080566,87.20999908447266,99942.65895080566,0.0
INTC,1941.0,51.5,99961.5,51.5,99961.5,0.0
VIAC,3313.0,30.18000030517578,99986.34101104736,30.18000030517578,99986.34101104736,0.0
C,1655.0,60.38999938964844,99945.44898986816,60.38999938964844,99945.44898986816,0.0
ATVI,1503.0,66.52999877929688,99994.5881652832,66.52999877929688,99994.5881652832,0.0
QCOM,546.0,182.8699951171875,99847.01733398438,182.8699951171875,99847.01733398438,0.0
MDT,966.0,103.4499969482422,99932.69705200197,103.4499969482422,99932.69705200197,0.0
PYPL,530.0,188.5800018310547,99947.40097045898,188.5800018310547,99947.40097045898,0.0
Cash,626.6529159545898,1.0,626.6529159545898,1.0,626.6529159545898,0.0
Total,,,1000000.0,,1000000.0,0.0
