,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
AMZN,29.0,3334.340087890625,96695.86254882812,3334.340087890625,96695.86254882812,0.0
AZTA,969.0,103.11000061035156,99913.59059143066,103.11000061035156,99913.59059143066,0.0
QRVO,639.0,156.38999938964844,99933.20960998535,156.38999938964844,99933.20960998535,0.0
DFS,865.0,115.55999755859376,99959.39788818361,115.55999755859376,99959.39788818361,0.0
THS,2467.0,40.52999877929688,99987.5069885254,40.52999877929688,99987.5069885254,0.0
BBWI,1432.0,69.79000091552734,99939.28131103516,69.79000091552734,99939.28131103516,0.0
IGT,3459.0,28.90999984741211,99999.68947219849,28.90999984741211,99999.68947219849,0.0
FIVN,728.0,137.32000732421875,99968.96533203125,137.32000732421875,99968.96533203125,0.0
ADSK,355.0,281.19000244140625,99822.45086669922,281.19000244140625,99822.45086669922,0.0
MARA,3043.0,32.86000061035156,99992.9818572998,32.86000061035156,99992.9818572998,0.0
Cash,3787.063533782959,1.0,3787.063533782959,1.0,3787.063533782959,0.0
Total,,,1000000.0,,1000000.0,0.0
