,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-03
AMZN,29.0,3334.340087890625,96695.86254882812,3408.090087890625,0.02211831968425737,98834.61254882812
AZTA,969.0,103.11000061035156,99913.59059143066,103.80999755859376,0.0067888366220407725,100591.88763427736
QRVO,639.0,156.38999938964844,99933.20960998537,159.42999267578125,0.01943854017518465,101875.76531982422
DFS,865.0,115.55999755859376,99959.3978881836,118.63999938964844,0.026652837453488232,102623.5994720459
THS,2467.0,40.52999877929688,99987.5069885254,42.47999954223633,0.04811252952555045,104798.15887069702
BBWI,1432.0,69.79000091552734,99939.28131103516,69.62000274658203,-0.0024358527971803934,99695.84393310547
IGT,3459.0,28.90999984741211,99999.68947219849,29.020000457763672,0.003804932927435223,100380.18158340454
FIVN,728.0,137.32000732421875,99968.96533203124,138.9499969482422,0.011870008280548516,101155.59777832031
ADSK,355.0,281.19000244140625,99822.45086669922,283.7200012207031,0.008997470597568835,100720.60043334961
MARA,3043.0,32.86000061035156,99992.9818572998,32.88999938964844,0.0009129269245182758,100084.2681427002
Cash,3787.063533782959,1.0,3787.063533782959,1,0.0,3787.063533782959
Total,,,1000000.0,,0.014547579250335785,1014547.5792503357
