,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
MTTR,4844.0,20.63999938964844,99980.15704345705,20.63999938964844,99980.15704345705,0.0
ATVI,1503.0,66.52999877929688,99994.5881652832,66.52999877929688,99994.5881652832,0.0
AMD,694.0,143.89999389648438,99866.59576416016,143.89999389648438,99866.59576416016,0.0
OLPX,3432.0,29.1299991607666,99974.15711975098,29.1299991607666,99974.15711975098,0.0
SQ,619.0,161.50999450683594,99974.68659973145,161.50999450683594,99974.68659973145,0.0
NOVA,3581.0,27.920000076293945,99981.52027320862,27.920000076293945,99981.52027320862,0.0
DE,291.0,342.8900146484375,99780.99426269531,342.8900146484375,99780.99426269531,0.0
FDX,386.0,258.6400146484375,99835.04565429688,258.6400146484375,99835.04565429688,0.0
PDD,1715.0,58.29999923706055,99984.49869155884,58.29999923706055,99984.49869155884,0.0
AMGN,444.0,224.97000122070312,99886.68054199219,224.97000122070312,99886.68054199219,0.0
Cash,1046.6258838653564,1.0,1046.6258838653564,1.0,1046.6258838653564,0.0
Total,,,1000305.55,,1000305.55,0.0
