,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-01-28
MTTR,4844.0,20.63999938964844,99980.15704345705,8.510000228881836,-0.5876937751679465,41222.44110870361
ATVI,1503.0,66.52999877929688,99994.5881652832,79.13999938964844,0.18953856668753777,118947.4190826416
AMD,694.0,143.89999389648438,99866.59576416016,105.23999786376952,-0.26865877465238286,73036.55851745604
OLPX,3432.0,29.1299991607666,99974.15711975098,20.21999931335449,-0.3058702404431388,69395.0376434326
SQ,619.0,161.50999450683594,99974.68659973145,110.37999725341795,-0.3165748188497023,68325.21829986571
NOVA,3581.0,27.920000076293945,99981.52027320862,18.190000534057617,-0.3484956846578875,65138.39191246033
DE,291.0,342.8900146484375,99780.99426269533,373.7900085449219,0.09011634219843301,108772.89248657227
FDX,386.0,258.6400146484375,99835.04565429688,244.77999877929688,-0.05358805708382042,94485.0795288086
PDD,1715.0,58.29999923706055,99984.49869155884,53.04999923706055,-0.09005145915443935,90980.74869155884
AMGN,444.0,224.97000122070312,99886.6805419922,229.13999938964844,0.018535796534287163,101738.1597290039
Cash,1046.6258838653564,1.0,1046.6258838653564,1,0.0,1046.6258838653564
Total,,,1000305.55,,0.01885874400334142,833088.572884369
