,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-03
RIVN,1205.0,103.69000244140624,124946.45294189452,60.36000061035156,-0.41788022770603994,72733.80073547363
FIGS,4535.0,27.559999465942383,124984.5975780487,20.3700008392334,-0.260885296300318,92377.95380592346
NVDA,425.0,294.1099853515625,124996.74377441406,239.47999572753903,-0.18574680338962946,101778.99818420409
CCL,6212.0,20.1200008392334,124985.44521331789,20.34000015258789,0.010934359054573184,126352.08094787598
TSLA,118.0,1056.780029296875,124700.04345703124,891.1400146484375,-0.15674029604689388,105154.52172851562
TRMB,1433.0,87.19000244140625,124943.27349853516,70.73999786376953,-0.1886684724970792,101370.41693878174
PRNT,3644.0,34.29999923706055,124989.19721984863,29.51000022888184,-0.1396501199627782,107534.44083404542
KTOS,6443.0,19.39999961853028,124994.19754219058,16.299999237060547,-0.15979383723846607,105020.8950843811
Cash,460.0487747192383,1.0,460.0487747192383,1,0.0,460.0487747192383
Total,,,1000000.0,,-0.037210778449199844,812783.1570339203
