,Shares,Cost Per Share,Cost Basis,Current Price,As of 2021-12-31,Return
RIVN,103.69000244140624,103.69000244140624,10751.61660629883,103.69000244140624,10751.61660629883,0.0
LCID,38.04999923706055,38.04999923706055,1447.8024419403082,38.04999923706055,1447.8024419403082,0.0
APPS,60.9900016784668,60.9900016784668,3719.7803047393827,60.9900016784668,3719.7803047393827,0.0
BUR,10.5600004196167,10.5600004196167,111.51360886230486,10.5600004196167,111.51360886230486,0.0
FIGS,27.559999465942383,27.559999465942383,759.5535705627444,27.559999465942383,759.5535705627444,0.0
AMZN,3334.340087890625,3334.340087890625,11117823.82171446,3334.340087890625,11117823.82171446,0.0
COST,567.7000122070312,567.7000122070312,322283.30385986343,567.7000122070312,322283.30385986343,0.0
AAPL,177.57000732421875,177.57000732421875,31531.1075011231,177.57000732421875,31531.1075011231,0.0
NVDA,294.1099853515625,294.1099853515625,86500.68348349631,294.1099853515625,86500.68348349631,0.0
ROKU,228.1999969482422,228.1999969482422,52075.238607177744,228.1999969482422,52075.238607177744,0.0
ILMN,380.4400024414063,380.4400024414063,144734.59545761722,380.4400024414063,144734.59545761722,0.0
ZG,62.220001220703125,62.220001220703125,3871.3285519042984,62.220001220703125,3871.3285519042984,0.0
RCL,76.9000015258789,76.9000015258789,5913.610234680178,76.9000015258789,5913.610234680178,0.0
ENJY,4.619999885559082,4.619999885559082,21.34439894256593,4.619999885559082,21.34439894256593,0.0
COIN,252.3699951171875,252.3699951171875,63690.61443544924,252.3699951171875,63690.61443544924,0.0
DIS,154.88999938964844,154.88999938964844,23990.911910925293,154.88999938964844,23990.911910925293,0.0
GOOGL,2897.0400390625,2897.0400390625,8392840.987931252,2897.0400390625,8392840.987931252,0.0
RBLX,103.16000366210938,103.16000366210938,10641.98635556642,103.16000366210938,10641.98635556642,0.0
CCL,20.1200008392334,20.1200008392334,404.81443377075266,20.1200008392334,404.81443377075266,0.0
WMT,144.69000244140625,144.69000244140625,20935.196806494147,144.69000244140625,20935.196806494147,0.0
DKNG,27.46999931335449,27.46999931335449,754.600862275696,27.46999931335449,754.600862275696,0.0
HD,415.010009765625,415.010009765625,172233.30820566416,415.010009765625,172233.30820566416,0.0
TWLO,263.3399963378906,263.3399963378906,69347.95367124025,263.3399963378906,69347.95367124025,0.0
TSP,35.849998474121094,35.849998474121094,1285.2223905944848,35.849998474121094,1285.2223905944848,0.0
PD,34.75,34.75,1207.5625,34.75,1207.5625,0.0
FATE,58.5099983215332,58.5099983215332,3423.4199035858182,58.5099983215332,3423.4199035858182,0.0
SI,148.1999969482422,148.1999969482422,21963.239095458994,148.1999969482422,21963.239095458994,0.0
NRIX,28.950000762939453,28.950000762939453,838.1025441741949,28.950000762939453,838.1025441741949,0.0
TDOC,91.81999969482422,91.81999969482422,8430.91234395752,91.81999969482422,8430.91234395752,0.0
EXAS,77.83000183105469,77.83000183105469,6057.509185021976,77.83000183105469,6057.509185021976,0.0
BEAM,79.69000244140625,79.69000244140625,6350.496489111334,79.69000244140625,6350.496489111334,0.0
U,142.99000549316406,142.99000549316406,20446.14167093509,142.99000549316406,20446.14167093509,0.0
MSFT,336.32000732421875,336.32000732421875,113111.14732656255,336.32000732421875,113111.14732656255,0.0
GOOG,2893.590087890625,2893.590087890625,8372863.596738875,2893.590087890625,8372863.596738875,0.0
SOFI,15.8100004196167,15.8100004196167,249.9561132682802,15.8100004196167,249.9561132682802,0.0
CRWD,204.75,204.75,41922.5625,204.75,41922.5625,0.0
CAT,206.7400054931641,206.7400054931641,42741.42987131352,206.7400054931641,42741.42987131352,0.0
TSLA,1056.780029296875,1056.780029296875,1116784.030320704,1056.780029296875,1116784.030320704,0.0
NEE,93.36000061035156,93.36000061035156,8716.089713964844,93.36000061035156,8716.089713964844,0.0
DUK,104.9000015258789,104.9000015258789,11004.010320129397,104.9000015258789,11004.010320129397,0.0
RAPT,36.72999954223633,36.72999954223633,1349.0928663726809,36.72999954223633,1349.0928663726809,0.0
CVNA,231.7899932861328,231.7899932861328,53726.600987585494,231.7899932861328,53726.600987585494,0.0
CURV,9.880000114440918,9.880000114440918,97.61440226135255,9.880000114440918,97.61440226135255,0.0
FSLY,35.45000076293945,35.45000076293945,1256.7025540924078,35.45000076293945,1256.7025540924078,0.0
AYX,60.5,60.5,3660.25,60.5,3660.25,0.0
CRCT,22.09000015258789,22.09000015258789,487.96810674133303,22.09000015258789,487.96810674133303,0.0
FB,336.3500061035156,336.3500061035156,113131.326605835,336.3500061035156,113131.326605835,0.0
IMMR,5.710000038146973,5.710000038146973,32.60410043563843,5.710000038146973,32.60410043563843,0.0
MTTR,20.63999938964844,20.63999938964844,426.00957480468804,20.63999938964844,426.00957480468804,0.0
TRMB,87.19000244140625,87.19000244140625,7602.096525732428,87.19000244140625,7602.096525732428,0.0
PRNT,34.29999923706055,34.29999923706055,1176.489947662354,34.29999923706055,1176.489947662354,0.0
KTOS,19.399999618530277,19.399999618530277,376.35998519897487,19.399999618530277,376.35998519897487,0.0
BX,129.38999938964844,129.38999938964844,16741.771942053223,129.38999938964844,16741.771942053223,0.0
CVS,103.16000366210938,103.16000366210938,10641.98635556642,103.16000366210938,10641.98635556642,0.0
GS,382.5499877929688,382.5499877929688,146344.49316040057,382.5499877929688,146344.49316040057,0.0
MRNA,253.97999572753903,253.97999572753903,64505.838229760746,253.97999572753903,64505.838229760746,0.0
PFE,59.04999923706055,59.04999923706055,3486.902409896851,59.04999923706055,3486.902409896851,0.0
WFC,47.97999954223633,47.97999954223633,2302.0803560729983,47.97999954223633,2302.0803560729983,0.0
ORCL,87.20999908447266,87.20999908447266,7605.5839403137215,87.20999908447266,7605.5839403137215,0.0
INTC,51.5,51.5,2652.25,51.5,2652.25,0.0
VIAC,30.18000030517578,30.18000030517578,910.8324184204102,30.18000030517578,910.8324184204102,0.0
C,60.38999938964844,60.38999938964844,3646.9520262817387,60.38999938964844,3646.9520262817387,0.0
ATVI,66.52999877929688,66.52999877929688,4426.240737573244,66.52999877929688,4426.240737573244,0.0
QCOM,182.8699951171875,182.8699951171875,33441.43511416018,182.8699951171875,33441.43511416018,0.0
MDT,103.4499969482422,103.4499969482422,10701.901868591322,103.4499969482422,10701.901868591322,0.0
PYPL,188.5800018310547,188.5800018310547,35562.41709060059,188.5800018310547,35562.41709060059,0.0
AVGO,665.4099731445312,665.4099731445312,442770.4323602058,665.4099731445312,442770.4323602058,0.0
XOM,61.18999862670898,61.18999862670898,3744.2159319366465,61.18999862670898,3744.2159319366465,0.0
BZH,23.21999931335449,23.21999931335449,539.168368112183,23.21999931335449,539.168368112183,0.0
FOA,3.9700000286102295,3.9700000286102295,15.760900227165223,3.9700000286102295,15.760900227165223,0.0
V,216.7100067138672,216.7100067138672,46963.22700992436,216.7100067138672,46963.22700992436,0.0
CHWY,58.970001220703125,58.970001220703125,3477.461043969728,58.970001220703125,3477.461043969728,0.0
TRUP,132.02999877929688,132.02999877929688,17431.920577661134,132.02999877929688,17431.920577661134,0.0
AMD,143.89999389648438,143.89999389648438,20707.20824340824,143.89999389648438,20707.20824340824,0.0
ZM,183.91000366210935,183.91000366210935,33822.88944699708,183.91000366210935,33822.88944699708,0.0
EL,370.2000122070313,370.2000122070313,137048.04903808612,370.2000122070313,137048.04903808612,0.0
NKE,166.6699981689453,166.6699981689453,27778.888289636234,166.6699981689453,27778.888289636234,0.0
MU,93.1500015258789,93.1500015258789,8676.922784271243,93.1500015258789,8676.922784271243,0.0
TTD,91.63999938964844,91.63999938964844,8397.889488134766,91.63999938964844,8397.889488134766,0.0
FTNT,359.3999938964844,359.3999938964844,129168.355612793,359.3999938964844,129168.355612793,0.0
TCN,15.279999732971191,15.279999732971191,233.47839183959968,15.279999732971191,233.47839183959968,0.0
TENB,55.06999969482422,55.06999969482422,3032.7048663879395,55.06999969482422,3032.7048663879395,0.0
UCTT,57.36000061035156,57.36000061035156,3290.1696700195316,57.36000061035156,3290.1696700195316,0.0
