,Shares,Cost Per Share,Cost Basis,Current Price,Return,As of 2022-02-17
RIVN,103.69000244140624,103.69000244140624,10751.61660629883,64.73999786376953,-0.37563895901773947,6712.890536550897
LCID,38.04999923706055,38.04999923706055,1447.8024419403082,28.11000061035156,-0.26123518596624495,1069.5855017776482
APPS,60.9900016784668,60.9900016784668,3719.780304739383,48.45000076293945,-0.20560748598822776,2954.965627853395
BUR,10.5600004196167,10.5600004196167,111.51360886230486,9.479999542236328,-0.10227280629403346,100.10879914398174
FIGS,27.559999465942383,27.559999465942383,759.5535705627444,17.290000915527344,-0.37264146405758536,476.5124159980769
AMZN,3334.340087890625,3334.340087890625,11117823.82171446,3093.050048828125,-0.07236515553371314,10313280.771659672
COST,567.7000122070312,567.7000122070312,322283.30385986343,515.010009765625,-0.09281310781827323,292371.1888306886
AAPL,177.57000732421875,177.57000732421875,31531.1075011231,168.8800048828125,-0.04893845854012657,29988.023703955114
NVDA,294.1099853515625,294.1099853515625,86500.68348349631,245.07000732421875,-0.16674026884440574,72077.53626423329
ROKU,228.1999969482422,228.1999969482422,52075.238607177744,144.7100067138672,-0.3658632399250701,33022.8230904846
ILMN,380.4400024414063,380.4400024414063,144734.59545761722,317.8399963378906,-0.164546329780757,120919.04898276368
ZG,62.220001220703125,62.220001220703125,3871.3285519042975,62.22999954223633,0.00016069304624011238,3871.9506474822992
RCL,76.9000015258789,76.9000015258789,5913.610234680178,85.13999938964844,0.10715211573821048,6547.266082977294
ENJY,4.619999885559082,4.619999885559082,21.34439894256593,2.9200000762939453,-0.36796533579554713,13.490400018310538
COIN,252.3699951171875,252.3699951171875,63690.61443544924,191.9199981689453,-0.23952925513261725,48434.84900078736
DIS,154.88999938964844,154.88999938964844,23990.911910925293,152.9499969482422,-0.012525033566085142,23690.424933959963
GOOGL,2897.0400390625,2897.0400390625,8392840.987931252,2650.780029296875,-0.08500400631166849,7679415.879620314
RBLX,103.16000366210938,103.16000366210938,10641.98635556642,54.4900016784668,-0.4717913944929323,5621.188772698981
CCL,20.1200008392334,20.1200008392334,404.8144337707527,22.420000076293945,0.11431407262049476,451.09042035064704
WMT,144.69000244140625,144.69000244140625,20935.196806494147,138.8800048828125,-0.04015479618881457,20094.548245556653
DKNG,27.46999931335449,27.46999931335449,754.600862275696,22.059999465942383,-0.19694211804301154,605.9881701820376
HD,415.010009765625,415.010009765625,172233.30820566416,347.94000244140625,-0.16161057744630358,144398.5838110596
TWLO,263.3399963378906,263.3399963378906,69347.95367124025,170.1300048828125,-0.3539530369533411,44802.03486280516
TSP,35.849998474121094,35.849998474121094,1285.2223905944848,15.75,-0.5606694373677759,564.6374759674072
PD,34.75,34.75,1207.5625,33.970001220703125,-0.02244600803732011,1180.4575424194336
FATE,58.5099983215332,58.5099983215332,3423.4199035858182,33.709999084472656,-0.4238591684924643,1972.371989851381
SI,148.1999969482422,148.1999969482422,21963.239095459,119.0999984741211,-0.19635626905096426,17650.619410400395
NRIX,28.950000762939453,28.950000762939453,838.1025441741949,15.460000038146973,-0.4659758331357904,447.56701289939883
TDOC,91.81999969482422,91.81999969482422,8430.91234395752,70.48999786376953,-0.23230235136079003,6472.391582339478
EXAS,77.83000183105469,77.83000183105469,6057.509185021976,74.7699966430664,-0.03931652468196811,5819.348975637811
BEAM,79.69000244140625,79.69000244140625,6350.496489111334,69.0199966430664,-0.1338939072838552,5500.203700991813
U,142.99000549316406,142.99000549316406,20446.14167093509,102.2699966430664,-0.28477521005511364,14623.587381777936
MSFT,336.32000732421875,336.32000732421875,113111.14732656255,290.7300109863281,-0.13555540956545298,97778.31942429207
GOOG,2893.590087890625,2893.590087890625,8372863.596738875,2646.169921875,-0.08550629443024871,7656931.05681181
SOFI,15.8100004196167,15.8100004196167,249.9561132682802,12.18000030517578,-0.22960151917117577,192.5658099357606
CRWD,204.75,204.75,41922.5625,169.85000610351562,-0.17045174064217028,34776.788749694824
CAT,206.7400054931641,206.7400054931641,42741.42987131352,194.7400054931641,-0.05804391835714051,40260.54980539555
TSLA,1056.780029296875,1056.780029296875,1116784.030320704,876.3499755859375,-0.17073567697052905,926109.1528740227
NEE,93.36000061035156,93.36000061035156,8716.089713964844,75.37999725341797,-0.19258786674579353,7037.476589587401
DUK,104.9000015258789,104.9000015258789,11004.010320129397,98.7300033569336,-0.05881790351950733,10356.777502792364
RAPT,36.72999954223633,36.72999954223633,1349.0928663726809,20.6299991607666,-0.4383338029437249,757.7398597312931
CVNA,231.7899932861328,231.7899932861328,53726.60098758549,135.22999572753906,-0.41658397840926376,31344.95980177005
CURV,9.880000114440918,9.880000114440918,97.61440226135257,9.029999732971191,-0.08603242627774277,89.21639839515683
FSLY,35.45000076293945,35.45000076293945,1256.7025540924078,19.200000762939453,-0.4583920916861661,680.6400416946417
AYX,60.5,60.5,3660.25,58.77999877929688,-0.028429772243026785,3556.1899261474614
CRCT,22.09000015258789,22.09000015258789,487.968106741333,19.530000686645508,-0.11588951780258228,431.4177181480409
FB,336.3500061035156,336.3500061035156,113131.326605835,207.7100067138672,-0.382458739572783,69863.2620259705
IMMR,5.710000038146973,5.710000038146973,32.60410043563843,4.849999904632568,-0.1506129820961427,27.69349964046478
MTTR,20.63999938964844,20.63999938964844,426.009574804688,6.539999961853027,-0.6831395273619519,134.98559522094732
TRMB,87.19000244140625,87.19000244140625,7602.096525732428,68.05999755859375,-0.21940594502985955,5934.1513532958925
PRNT,34.29999923706055,34.29999923706055,1176.489947662354,29.989999771118164,-0.12565596390117417,1028.656969268799
KTOS,19.39999961853028,19.39999961853028,376.35998519897487,16.959999084472656,-0.12577322587815953,329.02397576904343
BX,129.38999938964844,129.38999938964844,16741.771942053223,122.62999725341795,-0.052245167077196064,15867.095269772339
CVS,103.16000366210938,103.16000366210938,10641.98635556642,102.3000030517578,-0.008336570180517144,10553.268689453134
GS,382.5499877929688,382.5499877929688,146344.49316040057,349.0599975585937,-0.08754408914659129,133532.89780505374
MRNA,253.97999572753903,253.97999572753903,64505.838229760746,146.36000061035156,-0.42373414019834266,37172.5123296997
PFE,59.04999923706055,59.04999923706055,3486.902409896851,48.900001525878906,-0.171888193773445,2887.545052795409
WFC,47.97999954223633,47.97999954223633,2302.0803560729983,56.150001525878906,0.17027932600229811,2694.077047508239
ORCL,87.20999908447266,87.20999908447266,7605.5839403137215,75.52999877929688,-0.1339296001352137,6586.971124392701
INTC,51.5,51.5,2652.25,47.56999969482422,-0.07631068553739384,2449.8549842834473
VIAC,30.18000030517578,30.18000030517578,910.8324184204102,29.350000381469727,-0.02750165392025239,885.7830204696656
C,60.38999938964844,60.38999938964844,3646.952026281738,64.70999908447266,0.07153501802427109,3907.8368052154547
ATVI,66.52999877929688,66.52999877929688,4426.240737573244,80.97000122070312,0.21704498281006668,5386.934082373045
QCOM,182.8699951171875,182.8699951171875,33441.43511416018,166.8000030517578,-0.08787659263145742,30502.71574362181
