,open,high,low,close,adjclose,volume,ticker
2021-12-31,121.2300033569336,122.91000366210938,118.58999633789062,118.79000091552734,118.79000091552734,24287000,BABA
2022-01-03,119.37999725341797,121.94999694824219,115.81999969482422,120.37999725341797,120.37999725341797,16775300,BABA
2022-01-04,119.52999877929688,120.87000274658203,115.7699966430664,119.55999755859375,119.55999755859375,20824000,BABA
2022-01-05,118.0,126.62000274658203,117.69999694824219,121.16000366210938,121.16000366210938,36651100,BABA
2022-01-06,124.26000213623047,128.39999389648438,123.46499633789062,126.62999725341797,126.62999725341797,32045800,BABA
2022-01-07,130.24000549316406,133.8800048828125,128.17999267578125,129.80999755859375,129.80999755859375,38113000,BABA
2022-01-10,131.99000549316406,132.60000610351562,126.2300033569336,128.3000030517578,128.3000030517578,23372200,BABA
2022-01-11,129.2100067138672,134.22999572753906,127.47000122070312,132.19000244140625,132.19000244140625,23616400,BABA
2022-01-12,136.02000427246094,138.6999969482422,135.5850067138672,137.41000366210938,137.41000366210938,25961100,BABA
2022-01-13,135.1999969482422,135.9199981689453,131.3000030517578,131.3699951171875,131.3699951171875,19887700,BABA
2022-01-14,132.80999755859375,134.36000061035156,129.35000610351562,131.57000732421875,131.57000732421875,18614900,BABA
2022-01-18,126.2699966430664,132.1300048828125,124.81999969482422,128.60000610351562,128.60000610351562,26122200,BABA
2022-01-19,128.10000610351562,130.86000061035156,127.12999725341797,127.73999786376953,127.73999786376953,14665200,BABA
2022-01-20,135.77000427246094,136.75,130.67999267578125,131.02999877929688,131.02999877929688,28966400,BABA
2022-01-21,128.22999572753906,128.9600067138672,122.52100372314453,123.2300033569336,123.2300033569336,26341400,BABA
2022-01-24,119.31999969482422,120.77999877929688,115.31999969482422,120.37000274658203,120.37000274658203,28509300,BABA
2022-01-25,119.91000366210938,122.45999908447266,118.04000091552734,119.13999938964844,119.13999938964844,22224100,BABA
2022-01-26,120.93000030517578,120.93000030517578,112.96199798583984,113.37000274658203,113.37000274658203,27513200,BABA
2022-01-27,113.11000061035156,114.54000091552734,110.2699966430664,111.79000091552734,111.79000091552734,21472700,BABA
2022-01-28,113.25,115.31999969482422,110.05999755859375,115.2300033569336,115.2300033569336,18892400,BABA
2022-01-31,118.16999816894531,125.87000274658203,117.5,125.79000091552734,125.79000091552734,20346500,BABA
2022-02-01,124.80999755859375,128.0,122.97000122070312,127.22000122070312,127.22000122070312,15036100,BABA
2022-02-02,127.62999725341797,127.62999725341797,121.16999816894531,122.87999725341797,122.87999725341797,14050100,BABA
2022-02-03,121.55000305175781,125.2699966430664,120.7300033569336,123.47000122070312,123.47000122070312,16651500,BABA
2022-02-04,121.2699966430664,123.94000244140625,119.66000366210938,122.22000122070312,122.22000122070312,13538200,BABA
2022-02-07,116.0999984741211,116.55000305175781,113.5999984741211,114.81999969482422,114.81999969482422,28589200,BABA
2022-02-08,118.16000366210938,122.23999786376953,116.80000305175781,121.9000015258789,121.9000015258789,22340500,BABA
2022-02-09,123.08999633789062,126.80000305175781,121.94000244140625,126.5,126.5,18253600,BABA
2022-02-10,124.11000061035156,128.33999633789062,123.4000015258789,123.9800033569336,123.9800033569336,16116600,BABA
2022-02-11,125.33499908447266,126.72000122070312,121.94000244140625,122.25,122.25,13889900,BABA
2022-02-14,120.55999755859375,122.38400268554688,119.37000274658203,121.91999816894531,121.91999816894531,13154900,BABA
2022-02-15,123.7699966430664,126.80500030517578,123.37799835205078,126.23999786376953,126.23999786376953,14634700,BABA
2022-02-16,125.61000061035156,127.58000183105469,124.51000213623047,125.55999755859375,125.55999755859375,17993300,BABA
2022-02-17,125.0,129.39999389648438,124.05599975585938,124.43000030517578,124.43000030517578,15906000,BABA
2022-02-18,120.87999725341797,120.87999725341797,117.19999694824219,118.98999786376953,118.98999786376953,21201400,BABA
