,open,high,low,close,adjclose,volume,ticker
2021-12-31,128.47000122070312,130.14999389648438,127.91000366210938,129.38999938964844,127.9908218383789,1553600,BX
2022-01-03,130.0,130.25,125.91000366210938,126.62999725341797,125.26066589355469,3901500,BX
2022-01-04,127.61000061035156,127.62999725341797,123.80000305175781,124.94000244140625,123.58894348144531,3769400,BX
2022-01-05,124.6500015258789,124.88999938964844,117.25,117.79000091552734,116.5162582397461,6376600,BX
2022-01-06,116.68000030517578,119.98999786376953,115.54000091552734,119.16000366210938,117.87145233154297,4678300,BX
2022-01-07,118.83000183105469,119.98999786376953,116.3499984741211,116.6500015258789,115.38858795166016,2963200,BX
2022-01-10,115.68000030517578,115.7699966430664,111.79000091552734,114.72000122070312,113.47946166992188,7798500,BX
2022-01-11,115.7699966430664,121.63999938964844,115.58999633789062,121.30000305175781,119.9883041381836,4460500,BX
2022-01-12,122.16999816894531,124.38999938964844,120.80000305175781,122.33999633789062,121.01705169677734,4740300,BX
2022-01-13,122.61000061035156,123.5,118.3499984741211,118.94000244140625,117.65382385253906,3731300,BX
2022-01-14,116.06999969482422,117.73999786376953,114.30999755859375,116.12000274658203,114.86431884765625,4125500,BX
2022-01-18,114.0,115.20999908447266,112.88999938964844,113.91999816894531,112.6881103515625,3760900,BX
2022-01-19,115.83000183105469,115.87000274658203,112.12000274658203,112.26000213623047,111.04605865478516,3006500,BX
2022-01-20,113.87000274658203,115.55999755859375,111.3499984741211,111.55999755859375,110.35363006591797,4611000,BX
2022-01-21,110.0999984741211,112.94000244140625,109.51000213623047,109.77999877929688,108.5928726196289,5031300,BX
2022-01-24,104.81999969482422,109.69000244140625,101.6500015258789,109.38999938964844,108.20709228515625,9540200,BX
2022-01-25,106.48999786376953,111.44000244140625,106.0,110.23999786376953,109.04789733886719,6382100,BX
2022-01-26,112.75,115.23999786376953,110.25,111.47000122070312,110.26460266113281,6968600,BX
2022-01-27,116.3499984741211,121.75,116.3499984741211,119.04000091552734,117.75274658203125,9357800,BX
2022-01-28,120.80999755859375,124.27999877929688,116.80000305175781,124.27999877929688,122.93608093261719,6100900,BX
2022-01-31,125.77999877929688,132.13999938964844,125.19999694824219,131.97000122070312,130.5429229736328,8759100,BX
2022-02-01,134.66000366210938,135.25,131.08999633789062,134.9499969482422,133.49069213867188,7124800,BX
2022-02-02,136.85000610351562,138.9499969482422,134.22000122070312,137.97999572753906,136.48793029785156,5154000,BX
2022-02-03,134.9600067138672,135.1199951171875,132.33999633789062,134.08999633789062,132.63999938964844,5445300,BX
2022-02-04,132.5,133.32000732421875,130.25999450683594,132.25,132.25,5632500,BX
2022-02-07,131.55999755859375,132.5500030517578,129.25,131.63999938964844,131.63999938964844,5021800,BX
2022-02-08,130.41000366210938,130.8300018310547,126.37999725341797,128.7100067138672,128.7100067138672,4605900,BX
2022-02-09,131.2100067138672,134.97999572753906,130.5800018310547,134.60000610351562,134.60000610351562,7518900,BX
2022-02-10,131.50999450683594,138.2899932861328,129.83999633789062,134.52999877929688,134.52999877929688,6082000,BX
2022-02-11,131.8000030517578,132.75,122.5199966430664,123.56999969482422,123.56999969482422,9209800,BX
2022-02-14,123.47000122070312,124.30000305175781,119.9000015258789,121.19999694824219,121.19999694824219,6527700,BX
2022-02-15,125.30000305175781,125.7699966430664,123.20999908447266,124.94999694824219,124.94999694824219,5018300,BX
2022-02-16,124.29000091552734,127.58999633789062,123.08999633789062,126.77999877929688,126.77999877929688,2921800,BX
2022-02-17,125.58000183105469,126.8499984741211,122.44000244140625,122.62999725341797,122.62999725341797,2808900,BX
2022-02-18,122.55999755859375,125.77999877929688,122.12999725341797,123.86000061035156,123.86000061035156,3832600,BX
2022-02-22,122.16999816894531,124.98999786376953,119.8499984741211,121.62000274658203,121.62000274658203,3469900,BX
2022-02-23,123.30000305175781,125.63999938964844,120.44999694824219,120.83000183105469,120.83000183105469,2932700,BX
2022-02-24,115.22000122070312,122.08000183105469,113.16000366210938,121.27999877929688,121.27999877929688,5967900,BX
2022-02-25,123.12000274658203,129.27000427246094,122.87000274658203,128.77999877929688,128.77999877929688,5395200,BX
2022-02-28,125.81999969482422,128.5,125.5999984741211,127.47000122070312,127.47000122070312,4302600,BX
2022-03-01,126.5199966430664,128.35000610351562,123.08999633789062,123.76000213623047,123.76000213623047,3311700,BX
2022-03-02,125.33999633789062,131.0500030517578,124.08999633789062,130.22000122070312,130.22000122070312,4092500,BX
2022-03-03,130.1300048828125,131.0,125.12000274658203,125.8499984741211,125.8499984741211,3738300,BX
2022-03-04,124.1500015258789,124.98999786376953,118.88999938964844,121.16000366210938,121.16000366210938,6557200,BX
2022-03-07,119.30000305175781,120.33999633789062,109.01000213623047,109.04000091552734,109.04000091552734,8283100,BX
2022-03-08,109.22000122070312,112.58000183105469,106.44000244140625,108.62000274658203,108.62000274658203,5953800,BX
2022-03-09,115.2300033569336,117.3499984741211,112.91999816894531,116.13999938964844,116.13999938964844,4024100,BX
2022-03-10,113.91000366210938,117.66999816894531,112.80999755859375,116.86000061035156,116.86000061035156,3225500,BX
