,open,high,low,close,adjclose,volume,ticker
2021-12-31,255.80999755859375,259.2099914550781,251.52000427246094,252.3699951171875,252.3699951171875,2360300,COIN
2022-01-03,256.2699890136719,261.6300048828125,250.63999938964844,251.0500030517578,251.0500030517578,3350900,COIN
2022-01-04,253.0500030517578,258.80999755859375,244.13999938964844,250.14999389648438,250.14999389648438,3652600,COIN
2022-01-05,247.72000122070312,248.69000244140625,232.86000061035156,234.22999572753906,234.22999572753906,5196300,COIN
2022-01-06,233.19000244140625,235.97999572753906,224.8800048828125,234.0,234.0,5236000,COIN
2022-01-07,233.6300048828125,238.47999572753906,227.58999633789062,232.3300018310547,232.3300018310547,3312000,COIN
2022-01-10,224.42999267578125,225.25999450683594,214.63999938964844,225.00999450683594,225.00999450683594,6800800,COIN
2022-01-11,225.5,238.0,222.17999267578125,237.22999572753906,237.22999572753906,5585600,COIN
2022-01-12,242.11000061035156,246.27000427246094,234.4199981689453,234.6999969482422,234.6999969482422,3937000,COIN
2022-01-13,241.99000549316406,242.8699951171875,227.19000244140625,228.22999572753906,228.22999572753906,3814100,COIN
2022-01-14,226.6199951171875,232.0,222.3000030517578,230.02999877929688,230.02999877929688,4325600,COIN
2022-01-18,226.82000732421875,227.19000244140625,219.60000610351562,222.0,222.0,3483000,COIN
2022-01-19,224.25,227.1699981689453,218.82000732421875,219.5,219.5,2976700,COIN
2022-01-20,222.3000030517578,232.0,220.83999633789062,221.6199951171875,221.6199951171875,3691200,COIN
2022-01-21,209.97999572753906,210.19000244140625,186.86000061035156,191.97000122070312,191.97000122070312,13628300,COIN
2022-01-24,173.17999267578125,191.86000061035156,162.50999450683594,191.47999572753906,191.47999572753906,12978700,COIN
2022-01-25,185.1699981689453,193.1199951171875,177.14999389648438,185.6300048828125,185.6300048828125,6271300,COIN
2022-01-26,193.60000610351562,198.0500030517578,177.0,178.63999938964844,178.63999938964844,7566300,COIN
2022-01-27,182.02999877929688,182.75,168.5800018310547,170.1999969482422,170.1999969482422,5551900,COIN
2022-01-28,169.10000610351562,181.75,162.1999969482422,177.5800018310547,177.5800018310547,6475800,COIN
2022-01-31,177.8699951171875,192.0,175.02999877929688,190.14999389648438,190.14999389648438,4060500,COIN
2022-02-01,197.97000122070312,201.4499969482422,188.6199951171875,197.72999572753906,197.72999572753906,5159000,COIN
2022-02-02,195.80999755859375,197.0,181.72999572753906,187.3699951171875,187.3699951171875,3861700,COIN
2022-02-03,182.25999450683594,189.3000030517578,179.0,181.30999755859375,181.30999755859375,3417000,COIN
2022-02-04,181.02000427246094,197.0,177.4499969482422,194.44000244140625,194.44000244140625,4397900,COIN
2022-02-07,198.6999969482422,211.11000061035156,198.1999969482422,205.74000549316406,205.74000549316406,6668300,COIN
2022-02-08,200.3699951171875,209.25,196.75,208.72999572753906,208.72999572753906,4639100,COIN
2022-02-09,210.17999267578125,215.25,207.61000061035156,214.5,214.5,3811700,COIN
2022-02-10,210.57000732421875,217.49000549316406,202.86000061035156,204.77000427246094,204.77000427246094,4587400,COIN
2022-02-11,205.8000030517578,205.97999572753906,191.02000427246094,194.52999877929688,194.52999877929688,5054200,COIN
2022-02-14,193.47999572753906,203.55999755859375,193.4600067138672,195.25,195.25,4528100,COIN
2022-02-15,202.30999755859375,209.30999755859375,201.17999267578125,208.9499969482422,208.9499969482422,3714300,COIN
2022-02-16,205.3800048828125,214.02000427246094,203.8300018310547,207.9600067138672,207.9600067138672,3593600,COIN
2022-02-17,202.10000610351562,206.30999755859375,188.92999267578125,191.9199981689453,191.9199981689453,4740600,COIN
2022-02-18,191.0800018310547,192.72000122070312,180.5399932861328,189.16000366210938,189.16000366210938,4502200,COIN
