,open,high,low,close,adjclose,volume,ticker
2021-12-31,206.24000549316406,208.0500030517578,203.30999755859375,206.88999938964844,206.88999938964844,476600,FIVE
2022-01-03,209.7100067138672,214.5,205.32000732421875,207.7100067138672,207.7100067138672,632300,FIVE
2022-01-04,206.5500030517578,208.02999877929688,202.72000122070312,203.88999938964844,203.88999938964844,538900,FIVE
2022-01-05,202.94000244140625,203.77999877929688,189.74000549316406,191.0,191.0,834400,FIVE
2022-01-06,191.0,194.4199981689453,187.67999267578125,192.89999389648438,192.89999389648438,734200,FIVE
2022-01-07,192.9499969482422,194.2899932861328,185.66000366210938,186.2100067138672,186.2100067138672,810900,FIVE
2022-01-10,180.4499969482422,181.58999633789062,167.35000610351562,179.72999572753906,179.72999572753906,1985000,FIVE
2022-01-11,179.4600067138672,183.97000122070312,176.63999938964844,181.1199951171875,181.1199951171875,708000,FIVE
2022-01-12,180.92999267578125,186.22999572753906,180.16000366210938,180.27999877929688,180.27999877929688,569600,FIVE
2022-01-13,182.42999267578125,182.89999389648438,175.86000061035156,176.47999572753906,176.47999572753906,665500,FIVE
2022-01-14,176.77000427246094,177.02999877929688,170.05999755859375,173.30999755859375,173.30999755859375,722000,FIVE
2022-01-18,170.0,172.05999755859375,167.5800018310547,171.17999267578125,171.17999267578125,674300,FIVE
2022-01-19,171.05999755859375,173.52999877929688,166.63999938964844,168.6699981689453,168.6699981689453,1007100,FIVE
2022-01-20,170.44000244140625,173.89999389648438,162.0399932861328,162.7100067138672,162.7100067138672,973700,FIVE
2022-01-21,160.52000427246094,164.5800018310547,156.52999877929688,159.07000732421875,159.07000732421875,925700,FIVE
2022-01-24,155.72999572753906,170.27999877929688,152.07000732421875,169.74000549316406,169.74000549316406,1535600,FIVE
2022-01-25,165.1699981689453,169.6999969482422,162.14999389648438,162.60000610351562,162.60000610351562,1268100,FIVE
2022-01-26,167.22000122070312,167.22000122070312,153.6199951171875,155.66000366210938,155.66000366210938,980600,FIVE
2022-01-27,158.0,162.61000061035156,153.39999389648438,154.39999389648438,154.39999389648438,611000,FIVE
2022-01-28,154.9499969482422,158.83999633789062,151.00999450683594,158.83999633789062,158.83999633789062,723500,FIVE
2022-01-31,158.17999267578125,165.44000244140625,157.27000427246094,164.0,164.0,929100,FIVE
2022-02-01,163.5800018310547,171.3000030517578,163.02999877929688,170.74000549316406,170.74000549316406,1666300,FIVE
2022-02-02,172.4199981689453,173.07000732421875,167.4600067138672,168.42999267578125,168.42999267578125,686800,FIVE
2022-02-03,164.86000061035156,172.44000244140625,163.13999938964844,166.99000549316406,166.99000549316406,798500,FIVE
2022-02-04,167.6999969482422,173.97999572753906,164.02999877929688,171.64999389648438,171.64999389648438,916200,FIVE
2022-02-07,171.36000061035156,174.05999755859375,169.57000732421875,170.35000610351562,170.35000610351562,696500,FIVE
2022-02-08,168.88999938964844,172.4600067138672,166.83999633789062,171.38999938964844,171.38999938964844,443200,FIVE
2022-02-09,172.9499969482422,178.22000122070312,172.9499969482422,177.75999450683594,177.75999450683594,490300,FIVE
2022-02-10,175.3000030517578,179.9199981689453,171.32000732421875,172.5800018310547,172.5800018310547,726600,FIVE
2022-02-11,172.32000732421875,173.88999938964844,167.85000610351562,168.49000549316406,168.49000549316406,518800,FIVE
