,open,high,low,close,adjclose,volume,ticker
2021-12-31,109.5199966430664,110.7699966430664,108.5,109.91000366210938,109.32249450683594,315300,PII
2022-01-03,110.38999938964844,110.55000305175781,108.5199966430664,110.33000183105469,109.74024963378906,421900,PII
2022-01-04,111.0,114.80000305175781,110.33000183105469,113.62000274658203,113.01266479492188,649000,PII
2022-01-05,114.0,117.52999877929688,113.5199966430664,113.80999755859375,113.20164489746094,1068300,PII
2022-01-06,113.45999908447266,115.45999908447266,111.73999786376953,114.61000061035156,113.99736785888672,381900,PII
2022-01-07,115.69000244140625,118.11000061035156,113.83000183105469,114.8499984741211,114.236083984375,716600,PII
2022-01-10,114.62000274658203,117.8499984741211,112.8499984741211,117.79000091552734,117.16036987304688,678100,PII
2022-01-11,117.87999725341797,118.27999877929688,114.83999633789062,117.05999755859375,116.43427276611328,693300,PII
2022-01-12,116.95999908447266,118.12000274658203,116.12000274658203,117.04000091552734,116.41438293457031,508600,PII
2022-01-13,117.66000366210938,119.97000122070312,117.06999969482422,118.81999969482422,118.18486785888672,691800,PII
2022-01-14,117.54000091552734,118.94999694824219,116.76000213623047,118.86000061035156,118.22465515136719,817300,PII
2022-01-18,118.4800033569336,118.4800033569336,111.43000030517578,111.83999633789062,111.24217224121094,1349300,PII
2022-01-19,112.19999694824219,114.69999694824219,112.11000061035156,113.02999877929688,112.42581176757812,672400,PII
2022-01-20,113.63999938964844,113.63999938964844,106.51000213623047,106.86000061035156,106.2887954711914,716900,PII
2022-01-21,105.72000122070312,106.68000030517578,102.33999633789062,105.77999877929688,105.21456909179688,1424000,PII
2022-01-24,104.91999816894531,110.55999755859375,103.19999694824219,110.12999725341797,109.54131317138672,1104400,PII
2022-01-25,109.13999938964844,110.94999694824219,104.83000183105469,109.19999694824219,108.61628723144531,1382200,PII
2022-01-26,111.63999938964844,114.1500015258789,110.30999755859375,111.31999969482422,110.7249526977539,957500,PII
2022-01-27,112.80000305175781,114.12999725341797,107.08999633789062,108.97000122070312,108.38751983642578,914300,PII
2022-01-28,109.36000061035156,113.5,109.0,112.23999786376953,111.6400375366211,783000,PII
2022-01-31,111.79000091552734,113.5199966430664,110.25,112.58999633789062,111.98816680908203,1359300,PII
2022-02-01,112.37999725341797,115.0999984741211,112.12000274658203,115.0199966430664,114.4051742553711,649700,PII
2022-02-02,115.43000030517578,115.98999786376953,112.55999755859375,114.7699966430664,114.15650939941406,588900,PII
