,open,high,low,close,adjclose,volume,ticker
2021-12-31,183.30999755859375,185.14999389648438,182.60000610351562,182.8699951171875,182.11032104492188,4113300,QCOM
2022-01-03,182.91000366210938,186.8800048828125,182.24000549316406,186.2100067138672,185.4364471435547,5990200,QCOM
2022-01-04,187.0,188.92999267578125,181.00999450683594,187.22999572753906,186.45220947265625,8484200,QCOM
2022-01-05,186.5,193.5800018310547,184.72999572753906,186.5,185.72523498535156,17141200,QCOM
2022-01-06,184.52000427246094,188.47000122070312,183.0,185.9499969482422,185.17752075195312,9117700,QCOM
2022-01-07,186.60000610351562,188.36000061035156,180.1199951171875,180.41000366210938,179.66053771972656,7386200,QCOM
2022-01-10,178.27000427246094,180.0,173.75999450683594,179.67999267578125,178.93356323242188,11159300,QCOM
2022-01-11,179.19000244140625,185.64999389648438,177.22000122070312,185.39999389648438,184.6298065185547,9591000,QCOM
2022-01-12,186.60000610351562,189.4600067138672,185.19000244140625,186.4199981689453,185.64556884765625,7317500,QCOM
2022-01-13,188.6999969482422,191.5800018310547,183.2899932861328,183.88999938964844,183.12608337402344,10190900,QCOM
2022-01-14,182.8000030517578,190.08999633789062,182.00999450683594,188.69000244140625,187.90614318847656,9587300,QCOM
2022-01-18,185.8699951171875,186.0,178.27000427246094,178.86000061035156,178.11697387695312,10471200,QCOM
2022-01-19,180.57000732421875,181.2100067138672,172.27000427246094,172.47000122070312,171.75352478027344,10082700,QCOM
2022-01-20,174.52999877929688,174.99000549316406,166.2899932861328,166.5,165.80831909179688,9468500,QCOM
2022-01-21,166.24000549316406,172.0399932861328,164.57000732421875,164.92999267578125,164.24484252929688,11898700,QCOM
2022-01-24,162.17999267578125,170.82000732421875,158.60000610351562,170.07000732421875,169.36349487304688,17489100,QCOM
2022-01-25,166.1699981689453,170.32000732421875,161.1999969482422,165.4499969482422,164.76268005371094,10708500,QCOM
2022-01-26,168.5800018310547,174.5500030517578,163.89999389648438,167.0,166.30624389648438,10492200,QCOM
2022-01-27,169.30999755859375,171.4499969482422,160.61000061035156,161.1999969482422,160.53033447265625,10743000,QCOM
2022-01-28,162.00999450683594,166.94000244140625,157.3800048828125,166.80999755859375,166.11703491210938,10320800,QCOM
2022-01-31,167.05999755859375,175.9499969482422,165.8000030517578,175.75999450683594,175.02984619140625,11273500,QCOM
2022-02-01,176.44000244140625,177.42999267578125,173.11000061035156,177.1300048828125,176.3941650390625,9724600,QCOM
2022-02-02,180.94000244140625,188.63999938964844,180.25999450683594,188.1999969482422,187.41818237304688,25646300,QCOM
2022-02-03,180.8000030517578,192.10000610351562,177.2899932861328,179.10000610351562,178.35598754882812,36120200,QCOM
2022-02-04,178.99000549316406,182.41000366210938,176.80999755859375,179.47000122070312,178.7244415283203,15708400,QCOM
2022-02-07,179.6699981689453,180.64999389648438,174.44000244140625,175.08999633789062,174.36264038085938,10376300,QCOM
2022-02-08,174.30999755859375,179.2899932861328,173.97999572753906,178.58999633789062,177.8480987548828,10163900,QCOM
2022-02-09,181.39999389648438,184.0,178.9499969482422,183.9499969482422,183.1858367919922,9666900,QCOM
2022-02-10,179.39999389648438,181.99000549316406,173.4499969482422,174.07000732421875,173.3468780517578,14362200,QCOM
2022-02-11,174.6999969482422,175.47999572753906,163.5500030517578,164.63999938964844,163.9560546875,13572000,QCOM
2022-02-14,165.35000610351562,167.85000610351562,162.47999572753906,165.1300048828125,164.4440155029297,8381700,QCOM
2022-02-15,169.0,173.9600067138672,168.25,173.0,172.2813262939453,11100000,QCOM
2022-02-16,170.67999267578125,173.2100067138672,168.25999450683594,172.60000610351562,171.88299560546875,8340600,QCOM
2022-02-17,169.8800048828125,170.77000427246094,166.6999969482422,166.8000030517578,166.10708618164062,8878900,QCOM
2022-02-18,167.47000122070312,170.4499969482422,164.24000549316406,167.63999938964844,166.94358825683594,9591700,QCOM
2022-02-22,164.05999755859375,169.9600067138672,163.60000610351562,165.88999938964844,165.2008514404297,9835500,QCOM
2022-02-23,166.64999389648438,169.16000366210938,161.32000732421875,161.6199951171875,160.94859313964844,9749000,QCOM
2022-02-24,156.88999938964844,168.36000061035156,155.7899932861328,167.97999572753906,167.28216552734375,12567000,QCOM
2022-02-25,167.61000061035156,171.08999633789062,165.60000610351562,170.92999267578125,170.21990966796875,7350200,QCOM
2022-02-28,168.3000030517578,172.99000549316406,168.1999969482422,171.99000549316406,171.27552795410156,10632700,QCOM
2022-03-01,170.9600067138672,171.83999633789062,161.72000122070312,163.69000244140625,163.00999450683594,10723300,QCOM
2022-03-02,165.25,170.49000549316406,164.35000610351562,169.25,169.25,7299400,QCOM
2022-03-03,170.6699981689453,170.8300018310547,164.5,165.35000610351562,165.35000610351562,8553900,QCOM
2022-03-04,163.85000610351562,166.07000732421875,159.88999938964844,162.25999450683594,162.25999450683594,9057300,QCOM
2022-03-07,162.32000732421875,163.16000366210938,150.0,150.10000610351562,150.10000610351562,13416100,QCOM
2022-03-08,150.66000366210938,158.33999633789062,147.8800048828125,150.75999450683594,150.75999450683594,11878400,QCOM
2022-03-09,156.00999450683594,158.47999572753906,154.1699981689453,157.11000061035156,157.11000061035156,9276800,QCOM
2022-03-10,154.0399932861328,155.3000030517578,150.3300018310547,154.7100067138672,154.7100067138672,8888800,QCOM
2022-03-11,157.9499969482422,158.32000732421875,152.02000427246094,152.33999633789062,152.33999633789062,7392100,QCOM
