,open,high,low,close,adjclose,volume,ticker
2021-12-31,151.97000122070312,154.66000366210938,147.35000610351562,148.1999969482422,148.1999969482422,530600,SI
2022-01-03,150.8800048828125,155.8000030517578,148.0,148.97999572753906,148.97999572753906,628500,SI
2022-01-04,151.36000061035156,154.63999938964844,145.56100463867188,150.61000061035156,150.61000061035156,816600,SI
2022-01-05,151.75999450683594,154.0,135.44000244140625,136.30999755859375,136.30999755859375,902400,SI
2022-01-06,137.25,139.75,125.0250015258789,132.33999633789062,132.33999633789062,1388900,SI
2022-01-07,132.24000549316406,137.0,127.18000030517578,128.49000549316406,128.49000549316406,975900,SI
2022-01-10,120.80000305175781,124.75,115.69999694824219,123.31999969482422,123.31999969482422,1185100,SI
2022-01-11,125.02999877929688,129.67999267578125,122.0,129.0800018310547,129.0800018310547,693100,SI
2022-01-12,136.72999572753906,140.89999389648438,133.60000610351562,139.24000549316406,139.24000549316406,1270900,SI
2022-01-13,141.86000061035156,144.52000427246094,132.22000122070312,136.3699951171875,136.3699951171875,1023000,SI
2022-01-14,131.7899932861328,139.5,130.35000610351562,138.14999389648438,138.14999389648438,771200,SI
2022-01-18,120.9800033569336,125.01000213623047,102.49500274658203,103.33999633789062,103.33999633789062,3895000,SI
2022-01-19,105.94000244140625,113.72799682617188,104.01000213623047,109.2300033569336,109.2300033569336,1881400,SI
2022-01-20,117.0,117.9000015258789,108.62000274658203,109.33999633789062,109.33999633789062,1602400,SI
2022-01-21,103.75,107.30000305175781,93.48999786376953,94.62000274658203,94.62000274658203,2246600,SI
2022-01-24,88.05000305175781,100.01000213623047,84.54000091552734,99.5,99.5,1873300,SI
2022-01-25,97.41000366210938,104.48999786376953,95.60900115966797,102.05000305175781,102.05000305175781,1034300,SI
2022-01-26,106.98999786376953,109.80000305175781,96.4800033569336,99.4800033569336,99.4800033569336,1101000,SI
2022-01-27,101.75,102.72000122070312,89.08000183105469,93.26000213623047,93.26000213623047,1060100,SI
