,open,high,low,close,adjclose,volume,ticker
2021-12-31,129.94000244140625,133.07000732421875,128.2480010986328,132.02999877929688,132.02999877929688,249000,TRUP
2022-01-03,133.10000610351562,135.11000061035156,125.86000061035156,129.2899932861328,129.2899932861328,323600,TRUP
2022-01-04,128.74000549316406,129.1179962158203,118.0,122.44999694824219,122.44999694824219,498900,TRUP
2022-01-05,123.19999694824219,125.0,116.88999938964844,117.69000244140625,117.69000244140625,464500,TRUP
2022-01-06,117.44000244140625,124.19999694824219,115.55999755859375,116.25,116.25,337600,TRUP
2022-01-07,115.19000244140625,120.15499877929688,108.62999725341797,109.0199966430664,109.0199966430664,369700,TRUP
2022-01-10,107.83000183105469,108.0,102.30000305175781,106.62000274658203,106.62000274658203,476800,TRUP
2022-01-11,106.62000274658203,110.22000122070312,103.61000061035156,108.41000366210938,108.41000366210938,320900,TRUP
2022-01-12,111.0199966430664,111.97200012207031,104.04000091552734,106.08000183105469,106.08000183105469,300200,TRUP
2022-01-13,107.70999908447266,107.87000274658203,99.7300033569336,100.4800033569336,100.4800033569336,262800,TRUP
2022-01-14,98.25,102.16000366210938,96.86000061035156,100.26000213623047,100.26000213623047,466000,TRUP
2022-01-18,98.0,99.47000122070312,96.12999725341797,97.26000213623047,97.26000213623047,518400,TRUP
2022-01-19,98.1500015258789,99.94999694824219,94.40499877929688,94.88999938964844,94.88999938964844,442600,TRUP
2022-01-20,96.9800033569336,99.5999984741211,93.9000015258789,94.43000030517578,94.43000030517578,377700,TRUP
2022-01-21,92.91999816894531,96.37000274658203,91.41000366210938,92.91999816894531,92.91999816894531,631300,TRUP
2022-01-24,90.93000030517578,93.80999755859375,82.76000213623047,93.55999755859375,93.55999755859375,794300,TRUP
2022-01-25,91.01000213623047,94.0199966430664,90.0,91.02999877929688,91.02999877929688,272900,TRUP
2022-01-26,95.25,96.75,90.0,91.08999633789062,91.08999633789062,518500,TRUP
2022-01-27,93.80999755859375,96.02999877929688,85.2300033569336,85.6500015258789,85.6500015258789,690100,TRUP
2022-01-28,85.36000061035156,88.2750015258789,80.22000122070312,88.18000030517578,88.18000030517578,390400,TRUP
2022-01-31,88.75,95.6500015258789,88.75,95.25,95.25,464000,TRUP
2022-02-01,96.47000122070312,98.4000015258789,90.125,96.20999908447266,96.20999908447266,380700,TRUP
2022-02-02,97.2699966430664,97.70999908447266,91.9000015258789,93.66999816894531,93.66999816894531,364000,TRUP
2022-02-03,92.0,94.41999816894531,89.0199966430664,89.4000015258789,89.4000015258789,379800,TRUP
2022-02-04,88.87999725341797,92.5999984741211,87.5,92.12999725341797,92.12999725341797,343800,TRUP
2022-02-07,91.63999938964844,98.01000213623047,91.63999938964844,92.9800033569336,92.9800033569336,309800,TRUP
2022-02-08,91.5199966430664,96.47000122070312,91.1500015258789,95.20999908447266,95.20999908447266,338100,TRUP
2022-02-09,96.6500015258789,99.0999984741211,95.31999969482422,96.98999786376953,96.98999786376953,289200,TRUP
2022-02-10,94.27999877929688,98.85299682617188,93.02999877929688,93.69999694824219,93.69999694824219,330500,TRUP
2022-02-11,94.3499984741211,96.80000305175781,89.7300033569336,90.54000091552734,90.54000091552734,288300,TRUP
2022-02-14,90.08000183105469,92.23999786376953,87.44999694824219,89.43000030517578,89.43000030517578,269900,TRUP
2022-02-15,91.4800033569336,94.40499877929688,90.23999786376953,93.6500015258789,93.6500015258789,286400,TRUP
2022-02-16,93.66999816894531,93.66999816894531,88.55000305175781,91.43000030517578,91.43000030517578,466400,TRUP
2022-02-17,79.0,80.46499633789062,73.0,75.87000274658203,75.87000274658203,1929600,TRUP
2022-02-18,76.61000061035156,80.77999877929688,75.2300033569336,77.66999816894531,77.66999816894531,968000,TRUP
2022-02-22,77.55999755859375,81.5,74.0,74.36000061035156,74.36000061035156,590000,TRUP
2022-02-23,74.83999633789062,78.41999816894531,74.04000091552734,74.06999969482422,74.06999969482422,454500,TRUP
2022-02-24,72.58000183105469,83.62000274658203,71.45999908447266,83.61000061035156,83.61000061035156,778200,TRUP
2022-02-25,84.36000061035156,89.08999633789062,81.12999725341797,88.62999725341797,88.62999725341797,423800,TRUP
2022-02-28,86.01000213623047,90.58999633789062,86.01000213623047,89.62999725341797,89.62999725341797,547800,TRUP
2022-03-01,89.62000274658203,92.38999938964844,87.52999877929688,88.19999694824219,88.19999694824219,505000,TRUP
2022-03-02,89.37999725341797,90.04000091552734,83.86000061035156,87.72000122070312,87.72000122070312,361600,TRUP
2022-03-03,89.13999938964844,89.2699966430664,84.2020034790039,85.37999725341797,85.37999725341797,292600,TRUP
2022-03-04,84.87000274658203,86.33000183105469,80.47000122070312,81.27999877929688,81.27999877929688,457400,TRUP
2022-03-07,81.58000183105469,85.50499725341797,78.12000274658203,82.25,82.25,595800,TRUP
2022-03-08,82.11000061035156,85.66999816894531,80.08000183105469,83.63999938964844,83.63999938964844,545600,TRUP
2022-03-09,86.43000030517578,89.30500030517578,84.47000122070312,86.9000015258789,86.9000015258789,384200,TRUP
2022-03-10,85.11000061035156,85.11000061035156,81.23999786376953,84.5,84.5,366800,TRUP
2022-03-11,87.0999984741211,87.16000366210938,78.33000183105469,78.9800033569336,78.9800033569336,417400,TRUP
2022-03-14,78.55000305175781,78.55000305175781,72.17500305175781,72.41000366210938,72.41000366210938,533600,TRUP
2022-03-15,72.63999938964844,76.93000030517578,70.48999786376953,76.80000305175781,76.80000305175781,397600,TRUP
2022-03-16,78.9800033569336,81.43000030517578,76.9000015258789,81.23999786376953,81.23999786376953,490500,TRUP
2022-03-17,81.1500015258789,85.69000244140625,79.94999694824219,85.5,85.5,520200,TRUP
2022-03-18,85.08000183105469,92.37000274658203,84.81999969482422,90.43000030517578,90.43000030517578,596800,TRUP
2022-03-21,89.0,90.08999633789062,85.5,86.68000030517578,86.68000030517578,272900,TRUP
2022-03-22,86.29000091552734,90.87000274658203,86.0,90.41000366210938,90.41000366210938,220800,TRUP
2022-03-23,88.9800033569336,94.83999633789062,87.01000213623047,90.25,90.25,346600,TRUP
2022-03-24,90.3499984741211,92.58000183105469,88.83999633789062,92.56999969482422,92.56999969482422,229800,TRUP
2022-03-25,93.61000061035156,93.61000061035156,86.86000061035156,89.0199966430664,89.0199966430664,315300,TRUP
2022-03-28,91.23999786376953,92.3499984741211,86.54000091552734,91.70999908447266,91.70999908447266,268400,TRUP
2022-03-29,93.7300033569336,99.01000213623047,93.7300033569336,97.97000122070312,97.97000122070312,435300,TRUP
