,open,high,low,close,adjclose,volume,ticker
2021-12-31,35.2599983215332,36.63999938964844,34.77000045776367,35.849998474121094,35.849998474121094,1536700,TSP
2022-01-03,36.40299987792969,36.68000030517578,35.04999923706055,36.38999938964844,36.38999938964844,1378300,TSP
2022-01-04,37.0,37.2400016784668,33.209999084472656,34.279998779296875,34.279998779296875,1602800,TSP
2022-01-05,33.65999984741211,34.47999954223633,30.06999969482422,30.440000534057617,30.440000534057617,1724900,TSP
2022-01-06,30.725000381469727,31.25,28.110000610351562,28.649999618530273,28.649999618530273,2617800,TSP
2022-01-07,28.399999618530273,29.489999771118164,27.239999771118164,27.809999465942383,27.809999465942383,2769200,TSP
2022-01-10,27.5,27.575000762939453,24.170000076293945,25.989999771118164,25.989999771118164,4156500,TSP
2022-01-11,26.604999542236328,28.719999313354492,25.81999969482422,27.780000686645508,27.780000686645508,3022800,TSP
2022-01-12,28.184999465942383,29.100000381469727,27.18000030517578,27.450000762939453,27.450000762939453,1412500,TSP
2022-01-13,27.5,27.5,25.371000289916992,25.530000686645508,25.530000686645508,1660200,TSP
2022-01-14,25.149999618530273,25.599000930786133,23.468000411987305,24.6200008392334,24.6200008392334,2390400,TSP
2022-01-18,23.6299991607666,23.850000381469727,22.0049991607666,22.190000534057617,22.190000534057617,3275000,TSP
2022-01-19,22.65999984741211,22.850000381469727,21.219999313354492,21.25,21.25,2658600,TSP
2022-01-20,21.809999465942383,23.18000030517578,21.1200008392334,21.209999084472656,21.209999084472656,2590300,TSP
2022-01-21,20.75,21.40999984741211,18.850000381469727,18.950000762939453,18.950000762939453,3161600,TSP
2022-01-24,17.0,18.90999984741211,16.280000686645508,18.81999969482422,18.81999969482422,5331900,TSP
2022-01-25,18.110000610351562,19.110000610351562,17.059999465942383,18.280000686645508,18.280000686645508,3368400,TSP
2022-01-26,19.420000076293945,20.100000381469727,17.270000457763672,17.520000457763672,17.520000457763672,4081600,TSP
2022-01-27,17.719999313354492,17.96500015258789,15.720000267028809,15.90999984741211,15.90999984741211,3175300,TSP
2022-01-28,15.949999809265137,16.950000762939453,14.920000076293945,16.709999084472656,16.709999084472656,2928500,TSP
2022-01-31,17.15999984741211,19.040000915527344,17.0,18.760000228881836,18.760000228881836,2372500,TSP
2022-02-01,19.59000015258789,19.59000015258789,18.1200008392334,19.030000686645508,19.030000686645508,1796900,TSP
