,open,high,low,close,adjclose,volume,ticker
2021-12-31,191.72000122070312,194.03599548339844,187.5,189.97000122070312,189.97000122070312,787200,W
2022-01-03,191.11000061035156,196.52999877929688,186.60000610351562,195.77000427246094,195.77000427246094,1220600,W
2022-01-04,194.72000122070312,197.77000427246094,179.7100067138672,186.27999877929688,186.27999877929688,1829600,W
2022-01-05,179.50999450683594,180.8000030517578,166.60000610351562,170.25999450683594,170.25999450683594,2802600,W
2022-01-06,170.89999389648438,178.6199951171875,165.7480010986328,174.1199951171875,174.1199951171875,1622700,W
2022-01-07,173.0,181.10000610351562,171.50999450683594,180.0800018310547,180.0800018310547,1374600,W
2022-01-10,178.41000366210938,178.41000366210938,168.14999389648438,176.49000549316406,176.49000549316406,1593800,W
2022-01-11,176.6300048828125,182.9199981689453,174.8000030517578,181.80999755859375,181.80999755859375,941900,W
2022-01-12,181.6300048828125,183.63699340820312,176.00999450683594,176.02000427246094,176.02000427246094,1175100,W
2022-01-13,176.99000549316406,177.7899932861328,170.0500030517578,170.1699981689453,170.1699981689453,1566100,W
2022-01-14,168.0,172.00999450683594,162.92999267578125,171.4600067138672,171.4600067138672,1455800,W
2022-01-18,166.49000549316406,168.71499633789062,161.42999267578125,162.3300018310547,162.3300018310547,2192600,W
2022-01-19,159.0,164.8800048828125,155.27000427246094,156.02000427246094,156.02000427246094,2211800,W
2022-01-20,158.94000244140625,162.83999633789062,146.8000030517578,147.89999389648438,147.89999389648438,2734600,W
2022-01-21,144.6300048828125,145.72000122070312,137.32000732421875,139.72000122070312,139.72000122070312,3368000,W
2022-01-24,130.44000244140625,154.2899932861328,129.5,152.77999877929688,152.77999877929688,4426700,W
2022-01-25,147.0,158.0,144.85000610351562,148.86000061035156,148.86000061035156,2662400,W
2022-01-26,155.0500030517578,155.5,140.97999572753906,142.6699981689453,142.6699981689453,2477300,W
2022-01-27,147.02000427246094,149.50999450683594,138.44000244140625,140.52000427246094,140.52000427246094,1871700,W
2022-01-28,140.60000610351562,151.13999938964844,137.89999389648438,146.77999877929688,146.77999877929688,1871400,W
2022-01-31,148.02000427246094,157.25,147.11000061035156,155.9199981689453,155.9199981689453,1709000,W
2022-02-01,156.5399932861328,163.99000549316406,153.47000122070312,162.5500030517578,162.5500030517578,1224500,W
2022-02-02,161.4600067138672,163.07000732421875,146.375,147.30999755859375,147.30999755859375,2828000,W
2022-02-03,144.60000610351562,145.77499389648438,137.0,138.5500030517578,138.5500030517578,2518300,W
2022-02-04,142.2100067138672,144.75999450683594,135.5,142.57000732421875,142.57000732421875,2308300,W
2022-02-07,143.11000061035156,150.97000122070312,141.0399932861328,141.24000549316406,141.24000549316406,1526300,W
2022-02-08,140.6199951171875,149.11000061035156,140.6199951171875,146.92999267578125,146.92999267578125,1559000,W
2022-02-09,148.49000549316406,152.27000427246094,145.8300018310547,151.99000549316406,151.99000549316406,1250000,W
2022-02-10,148.1199951171875,156.0399932861328,146.16299438476562,147.77000427246094,147.77000427246094,1312300,W
2022-02-11,148.00999450683594,150.18499755859375,143.6199951171875,145.72000122070312,145.72000122070312,1165400,W
2022-02-14,143.36000061035156,148.1750030517578,140.00999450683594,142.2100067138672,142.2100067138672,1641700,W
2022-02-15,145.05999755859375,148.8699951171875,140.8800048828125,148.38999938964844,148.38999938964844,1365200,W
2022-02-16,145.17999267578125,145.3000030517578,133.39999389648438,136.5399932861328,136.5399932861328,1898800,W
2022-02-17,138.5500030517578,140.0,129.52999877929688,130.8000030517578,130.8000030517578,1545300,W
2022-02-18,129.44000244140625,133.61000061035156,125.30999755859375,128.08999633789062,128.08999633789062,2422100,W
2022-02-22,125.94000244140625,130.42999267578125,117.87999725341797,122.44999694824219,122.44999694824219,2623300,W
2022-02-23,126.62000274658203,132.44000244140625,119.94000244140625,121.31999969482422,121.31999969482422,3144200,W
2022-02-24,100.80999755859375,131.25999450683594,100.56999969482422,127.06999969482422,127.06999969482422,6258600,W
2022-02-25,130.8699951171875,133.61000061035156,121.58000183105469,131.19000244140625,131.19000244140625,3233800,W
2022-02-28,129.9199981689453,142.72000122070312,129.14999389648438,140.8699951171875,140.8699951171875,2893100,W
2022-03-01,141.7100067138672,143.39999389648438,130.6999969482422,132.50999450683594,132.50999450683594,2117100,W
2022-03-02,132.77000427246094,133.74000549316406,126.17500305175781,131.00999450683594,131.00999450683594,1858600,W
2022-03-03,131.50999450683594,132.49000549316406,121.37999725341797,124.08000183105469,124.08000183105469,2049900,W
2022-03-04,125.63999938964844,129.35000610351562,121.5999984741211,124.80999755859375,124.80999755859375,2211400,W
2022-03-07,127.20999908447266,131.92999267578125,123.61499786376953,126.2300033569336,126.2300033569336,2570100,W
2022-03-08,127.63999938964844,137.0,125.9000015258789,130.22000122070312,130.22000122070312,1984400,W
2022-03-09,133.0,135.3000030517578,124.94999694824219,126.70999908447266,126.70999908447266,1700900,W
2022-03-10,126.8499984741211,126.8499984741211,116.55599975585938,120.7300033569336,120.7300033569336,1735600,W
2022-03-11,123.22000122070312,124.98999786376953,113.7750015258789,114.44999694824219,114.44999694824219,2582100,W
2022-03-14,112.70999908447266,114.97000122070312,104.0,104.80999755859375,104.80999755859375,2304400,W
2022-03-15,106.68000030517578,118.30000305175781,106.68000030517578,112.80000305175781,112.80000305175781,3182200,W
2022-03-16,115.18000030517578,119.51000213623047,112.33000183105469,119.1500015258789,119.1500015258789,3645200,W
2022-03-17,117.43000030517578,120.30999755859375,114.01000213623047,119.86000061035156,119.86000061035156,2636800,W
2022-03-18,119.62999725341797,126.62000274658203,118.71199798583984,124.94000244140625,124.94000244140625,3130700,W
2022-03-21,124.2300033569336,125.81999969482422,117.0199966430664,118.6500015258789,118.6500015258789,1675200,W
2022-03-22,119.33999633789062,129.7899932861328,118.25,127.6500015258789,127.6500015258789,1861200,W
2022-03-23,125.13999938964844,129.19000244140625,120.25199890136719,121.06999969482422,121.06999969482422,1451800,W
2022-03-24,120.94000244140625,122.37999725341797,115.5999984741211,121.37000274658203,121.37000274658203,953200,W
2022-03-25,122.29000091552734,122.5999984741211,111.88999938964844,114.77999877929688,114.77999877929688,1534500,W
2022-03-28,115.68000030517578,120.0999984741211,111.6500015258789,119.8499984741211,119.8499984741211,1271600,W
