,open,high,low,close,adjclose,volume,ticker
2021-12-31,57.939998626708984,59.13999938964844,56.5,58.86000061035156,47.49060821533203,2154900,ZIM
2022-01-03,59.0,59.689998626708984,56.540000915527344,56.7599983215332,45.79624557495117,3252400,ZIM
2022-01-04,57.18000030517578,57.33000183105469,55.18000030517578,56.459999084472656,45.55419158935547,2329900,ZIM
2022-01-05,56.279998779296875,58.43000030517578,54.5,54.619998931884766,44.06960678100586,3061100,ZIM
2022-01-06,54.61000061035156,56.650001525878906,54.599998474121094,55.72999954223633,44.9651985168457,2119200,ZIM
2022-01-07,56.5099983215332,58.66999816894531,56.0,56.58000183105469,45.65101623535156,2238800,ZIM
2022-01-10,56.290000915527344,58.900001525878906,55.54999923706055,58.65999984741211,47.32924270629883,2755100,ZIM
2022-01-11,59.279998779296875,61.65999984741211,57.900001525878906,61.439998626708984,49.5722541809082,6782000,ZIM
2022-01-12,61.7400016784668,63.619998931884766,60.900001525878906,63.20000076293945,50.9922981262207,6078800,ZIM
2022-01-13,63.0,64.5999984741211,62.25,63.630001068115234,51.339237213134766,3780700,ZIM
2022-01-14,62.0,63.88999938964844,61.099998474121094,63.70000076293945,51.39571762084961,2479100,ZIM
2022-01-18,62.61000061035156,64.94000244140625,62.32600021362305,63.34000015258789,51.105255126953125,3122900,ZIM
2022-01-19,63.75,64.66000366210938,61.2599983215332,61.529998779296875,49.64487075805664,2950200,ZIM
2022-01-20,62.459999084472656,63.400001525878906,61.15999984741211,61.34000015258789,49.491573333740234,2719200,ZIM
2022-01-21,60.5,61.16999816894531,57.099998474121094,58.119998931884766,46.89354705810547,5136600,ZIM
2022-01-24,56.5,57.650001525878906,52.5,57.47999954223633,46.37717056274414,5941600,ZIM
2022-01-25,55.7400016784668,58.404998779296875,55.4900016784668,57.220001220703125,46.16739273071289,2511200,ZIM
2022-01-26,59.68000030517578,61.560001373291016,58.58000183105469,59.41999816894531,47.942440032958984,3955400,ZIM
2022-01-27,60.7599983215332,62.70000076293945,60.599998474121094,61.56999969482422,49.677146911621094,3407200,ZIM
2022-01-28,63.5,65.46199798583984,62.130001068115234,65.41000366210938,52.775413513183594,4606500,ZIM
2022-01-31,64.9800033569336,67.5,63.209999084472656,66.72000122070312,53.832374572753906,4592400,ZIM
2022-02-01,66.93000030517578,69.79000091552734,66.87000274658203,68.56999969482422,55.32502746582031,3751400,ZIM
2022-02-02,69.2300033569336,69.5,66.69999694824219,68.18000030517578,55.01036071777344,3279200,ZIM
2022-02-03,67.5,70.63999938964844,66.69999694824219,68.69999694824219,55.42991256713867,3050700,ZIM
2022-02-04,68.9000015258789,69.69999694824219,67.12999725341797,68.91000366210938,55.59935760498047,2296900,ZIM
2022-02-07,69.0,72.55999755859375,68.77999877929688,70.94000244140625,57.237239837646484,4421500,ZIM
2022-02-08,71.83999633789062,72.45999908447266,70.11000061035156,71.29000091552734,57.51963424682617,3320100,ZIM
2022-02-09,72.20999908447266,74.02999877929688,70.75,73.08000183105469,58.9638786315918,3537500,ZIM
2022-02-10,72.5,74.9000015258789,71.81999969482422,73.3499984741211,59.18172073364258,3135500,ZIM
2022-02-11,73.5,75.19999694824219,69.0999984741211,70.2300033569336,56.66438293457031,4809300,ZIM
2022-02-14,69.44000244140625,71.62000274658203,67.56999969482422,68.72000122070312,55.44605255126953,3716400,ZIM
2022-02-15,70.0,72.45999908447266,69.9000015258789,72.16999816894531,58.22964859008789,2747300,ZIM
2022-02-16,71.8499984741211,73.25,71.05999755859375,71.94000244140625,58.0440788269043,1803000,ZIM
2022-02-17,71.13999938964844,73.2300033569336,70.80000305175781,71.41999816894531,57.62451934814453,2000400,ZIM
2022-02-18,71.5,72.25,68.81999969482422,69.86000061035156,56.36585235595703,3271000,ZIM
2022-02-22,68.25,69.48999786376953,67.69999694824219,68.80000305175781,55.51060104370117,2536100,ZIM
